txt,intent
Mas o que eu tomo? Não é preciso nenhum antibiótico,request_inform
"Dor no corpo, mas febre não",inform_symptoms
A 3 dias atrás sentir muita dor de cabeça,inform_symptoms
"Dor no corpo, cabeça, falta de apetite , dor no estômago, olhos e dor de garganta",inform_symptoms
Vc poderia ver meus dedos?,request_inform
o que devo fazer em casa? ha algum medicamento a tomar?,request_inform
tenho um filho  de 2 anos ele teve febre só 1 dia mas já tá bom ele pode ta,inform_symptoms
Ela vem junto com a taquicardia,inform_symptoms
Água com limão é bom?,request_inform
Quantos dias tenho que ficar de observação.,request_inform
"Apresentei uma melhora na pontada no peito e falta de fôlego, meu cansaço diminuiu, sinto apenos o nariz fervendo e uma leve dor no peito",inform_symptoms
Fica tudo entupido,inform_symptoms
Estou tendo febre a 3 dias hj,inform_symptoms
Creio que começou segunda feira passada com uma falta de ar pela tarde,inform_symptoms
Se vc puder ouvir eu gravo a tosse pra vc,inform_symptoms
"Bem melhor do que ontem. Porém continuo com dor de cabeça, e um cansaço no corpo",inform_symptoms
To me sentindo  bem melhor so meu palada e cheiro nao bolto,inform_symptoms
Alem de não sentir gosto nem cheiro,inform_symptoms
"Correto,, tem a tosse e a dor de cabeca,",inform_symptoms
Há cinco com pressão baixa e em crise agora,inform_symptoms
E também estou tomando vitamina C e tomando um remédio chamado cimegrip,inform_medicine
"Eu não voltei a sentir esses dois sitomas depois disso, só ontem que eu voltei a registrar 37.8 mais acho que foi pela noticia que eu recebi",inform_symptoms
Tosse direto,inform_symptoms
Sou alergica,inform_symptoms
Corpo quente,inform_symptoms
eu tô com um pouco de falta de ar,inform_symptoms
Mais ela é muito neurótica disse que não vai para a vida pra mim ela é acitomatica,inform_symptoms
"Eu acho que é alérgica, mas não sei se devo ir ao hospital pelo risco de contrair a doença",inform_symptoms
"Não, tem sinusite e renite altamente alérgico",inform_symptoms
Dor do corpo,inform_symptoms
Só quando eu puxo com força aí dói um pouco,inform_symptoms
Passou a noite inteira gemendo,inform_symptoms
So tenho agradecer por que eu ja ia no upa,greeting
E tinha convulsão.,inform_symptoms
O meu maior receio no momento é a dor de cabeça constante,inform_symptoms
Preciso acabar com essa sensação de desmaio,inform_symptoms
Porque quando tenho crise de rinite tomo para ajudar na crise,inform_symptoms
"No momento não, obrigado mesmo",greeting
Espirra,inform_symptoms
A minha sogra já está com uma tosse cheia. Uma vez ou outra ela tosse. Vem tomando xarope. Já foi escultada pela fisioterapeuta dela e não tem nenhuma secreção. Foi colocado o oximetro e deu 98. Minha esposa tá pensando em levá-la ao hospital. O que fazemos?,request_inform
Com quantos dias o vírus é transmissível?,request_inform
"Tudo bem,pode deixar:), Obrigado",greeting
"Eu estou com dúvidas pq eu tenho uns problemas pra liberar gases por aroto e esse dias eu não tenho conseguido, já tomei água com gás, e faz uns 4 dias que não estava conseguindo ir ao banheiro, mas hoje consegui, mas ainda sinto a falta de ar e o cansaço",inform_symptoms
Perdi o paladar e o olfato,inform_symptoms
Certo! Quando estou sentado ou deitado sinto pressão  no peito.,inform_symptoms
Pronto pro nariz só soro isso?,request_inform
Na sexta teve 38.3 Sábado e domingo não teve febre,inform_symptoms
Não.  Obrigada,greeting
Só q sentir um incômodo na garganta e fui olha no espelho e vir q ta avermelhada,inform_symptoms
"No final da tarde eu me sinto com a sensação de nariz entupido, como se tivessem tampando minha respiração",inform_symptoms
pra uma falta de ar causada por o coronavirus,inform_symptoms
não mais me sinto muito frio mal star não aguentou engolir nada,inform_symptoms
Mas n tô sentindo mais,inform_symptoms
tomamos azitromicina por 5 dias,inform_medicine
Como dor de cabeça,inform_symptoms
Ta muito obrigada,greeting
Não mas si caso eu almentar os sintomas posso procurar novamente?,request_inform
Será sintomas do covid?,request_inform
E também sinto uma queimação no nariz,inform_symptoms
Um ótimo dia pra você também.,greeting
so tomo anticoncepcional,inform_medicine
"Tem diabetes, pressão alta, arritmia",inform_symptoms
Muito obrigado!!,greeting
Mas como estou tomando paracetamol de 6 em 6 horas hj não tive febre,inform_medicine
E a tosse? A febre?,request_inform
Quais cuidados eu devo tomar,request_inform
eu fui 3 vezes tomei soro  agora de vez e quando só vem a dor,inform_medicine
Estou com muita dor no corpo falta de gosto e cheiro,inform_symptoms
Ele pode tomar alguma outra medicação,request_inform
Oi Miria,greeting
Tem alguma coisa que posso fazer para melhorar essa dor nos olhos e fraqueza?,request_inform
Vou ter que fazer quarentena de 14 dias mesmo que os sintomas não apareça nos próximos dias?,request_inform
E a falra de palada,inform_symptoms
olá Boa noite,greeting
A dor é  como se fosse na regiao do torax,inform_symptoms
Não obrigada..  dla regional V o posto de referência é o do Conjunto Ceará?,request_inform
Acredito que seja porque tenho renite alérgica e durmo com ventilador,inform_symptoms
Gratidão.,greeting
qndo fico em pé o nariz consegue puxar o ar,inform_symptoms
estou inclusive sem apresentar sinais de gripe,inform_symptoms
Mas você acha melhor a gente ir ?,request_inform
Melhorei sim ..apesar que estou tomando o.antibiotico desde ontem,inform_medicine
"Agora a tarde me senti febril, continuo cansado, com dor no corpo e sem olfato e paladar",inform_symptoms
Estou tossindo e acho que de dois dias pra cá está aumentando a tosse,inform_symptoms
Vc pode me ajudar?,request_inform
E a respiração está ótima,inform_symptoms
"Não, obg",greeting
"Mas, não descartamos as chances de ser coronavírus?",request_inform
Acho q meu peito estar cheio de secreção,inform_symptoms
me sinto cansada e fico com um pouco de falta de ar,inform_symptoms
Meu marido está com os mesmos sintomas,inform_symptoms
Não tive nenhum desses sintomas citados!,inform_symptoms
Respiro com palpitação,inform_symptoms
"Tá bom,doutora muito obrigado pela ajuda",greeting
Estou somente com mal estar,inform_symptoms
Minha respiração como se estivesse com alguma inflamação,inform_symptoms
Certo obrigada por tudo,greeting
Sou diabética,inform_symptoms
Eu estou muito fraca,inform_symptoms
Não apresenta tosse e nem cansaço,inform_symptoms
meu amor como lavi o nariz com o soro?,request_inform
"Meu medo é que nessa piora eu tenha que ser entubada. Pois estou e tenho todos os sintomas agravantes (diabetes, pressão alta, problema cardíaco) e já tive pneumonia começo do ano.",inform_symptoms
Já fiz redução de estômago e engordei tudo por ansiedade,inform_symptoms
muita dor de cabeça,inform_symptoms
Obrigada Dr espero que tudo isso passe porque minha bebe já tá sentindo minha falta,greeting
Pode ser considerada febre?,request_inform
"Disposta, não tenho febre, dor de cabeça, só o nariz entupido e coçando.",inform_symptoms
Mas estava sentindo muito calafrio,inform_symptoms
"Eu ja tenho insuficiência cardíaca , tenho um atestado dado pelo cardiologista",inform_symptoms
É pouca a melhora com a bombinha,inform_medicine
"Oi, Caroline! Tudo bem? Então, no dia 29/04 tudo começou, tive febre desde às 8h da manhã com 38.1 e ela não baixou mesmo após eu tendo tomado um tylenol. Às 16h31 desse mesmo dia eu estava com 38.4 de febre. Foi o dia todo!  Na parte da noite desse mesmo dia eu tive algumas pontadas na barriga, mas que passaram. Desde o dia 29, estou com o corpo dolorido, garganta um pouco inflamada e desde sexta (01/05) eu to sem o paladar ou olfato.   Hoje já é o 6º dia que eu to com esses sintomas. Você poderia me ajudar? Tenho medo da automedicação e não sei o que fazer pra voltar a sentir o cheiro ou gosto das coisas e parar com",request_inform
"Obrigada, Joana..   Eu já estava suspeitsndoque estava com covid-19, devido o pai já tá e uma dor de cabeça..  Mas não senti nada..",inform_symptoms
Devo ir no upa?,request_inform
"Não, obrigada.",greeting
Não  So refluxo laringite  Fendas cordas  vocais rinite  alerguca,inform_symptoms
"Nariz entupido, tosse leve mas um pouco cheia, e hoje ela apresentou diarréia",inform_symptoms
Não fico só um pouco cansada,inform_symptoms
"Senti falta de ar, tosse, febre",inform_symptoms
a febre graças a Deus não passa disso,inform_symptoms
Vontade de vomitar,inform_symptoms
obg,greeting
"Depois de um dia sem febre, ontem tive as 21h 37",inform_symptoms
Estou bem! Fui no posto como vcs mi recomendaram já estou tomando os medicamentos passado por eles,inform_medicine
"antigamente eu já tive crise ansiedade, mas foi passageira",inform_symptoms
O propolis é xarope?,request_inform
"Tô com muita dor lombar , toda dolorida",inform_symptoms
Dor de garganta só um pouco,inform_symptoms
Hj fui na UPA pra realizar o teste mais a médica que mim examinou falou que eu estava com uma virose,inform_symptoms
"Quando tá deitado, sentada, em pé. Não é falta de ar propriamente, é cansaço.",inform_symptoms
Mas fiquei boa deu mais nada além da trombose,inform_symptoms
"Tive tosse , porém menos enjoo",inform_symptoms
"Olá Dalva, hj estou com nove dias com sintomas de gripe forte",inform_symptoms
"Alivia na hora, junto com o Vick que eu passo",inform_medicine
Preciso de alguma coisa para dormir,request_inform
"Ardência e uma dor como se fosse muscular, porém quando aperto não dói",inform_symptoms
Doutora nao tenho febre aparentemente,inform_symptoms
2° consegui dormir bem,inform_symptoms
A sensação de vômitos vem e some,inform_symptoms
Vocês indicam remédios ?,request_inform
É uma pessoa ou atendimento automático?,request_inform
Dor na garganta e febre,inform_symptoms
"Mas estou indo passar o final.de semana na casa do meu filho, o isolamento social está me deixando muito ansioso",inform_symptoms
E queda de pressão,inform_symptoms
Meu nariz entupido já tá com mais d 15 dias,inform_symptoms
As vezes seguro em alguma coisa.pq tô tonta mas passa,inform_symptoms
Remédio p gripe,inform_medicine
Garganta??,request_inform
mas essa falta de ar que estou sentido é muito perigoso ?,request_inform
"Tenho espiro, tosse",inform_symptoms
Caso eu precise posso entrar em contato novamente,request_inform
Teve vômito depois de disso,inform_symptoms
Ta certo então obrigado,greeting
E tosse persistente,inform_symptoms
Alérgica,inform_symptoms
E agora estou a três dias com febre,inform_symptoms
Minha mãe está meio mole tbm.  Ela apresentou,inform_symptoms
Porque relatei que sou ansioso,inform_symptoms
Preciso tirar uma dúvida sobre o medicamento oscillococcinum,request_inform
Estou com  Dores de cabeça em determinado horário as 19 meados 21 horas  E febre   Logo após baixa a febre e a dor de cabeça,inform_symptoms
"Eu só não tive febre e falta de ar, mas tô muito cansada",inform_symptoms
Nada de médico?,request_inform
Desculpa tá,greeting
O que me aconselha que eu faça,request_inform
Canseira muito forte,inform_symptoms
Minha mãe tem tossido,inform_symptoms
Vou fazer isso O olfato ainda não voltou,inform_symptoms
Agora foi só esse mal estar e falta de paladar e olfato,inform_symptoms
Kd vc,request_inform
Mas febre sempre foi comum pra mim quando pego virose,inform_symptoms
"Hoje não há mais febre , somente dor de garganta.  Dor de cabeça , e mau estar.",inform_symptoms
Dipirona de uma grama,inform_medicine
Ñ obg,greeting
"Desde sábado venho sentindo alguns sintomas como febre, dor no corpo, dor de cabeça",inform_symptoms
Voce recomenda algum remedio que possa melhorar a recuperaçao?,request_inform
E posso voltar a tomar o antibiótico,request_inform
E sem senti cheiro  no dia 28,inform_symptoms
Ainda estou tossindo um pouco e sinto um pouco de dor nas pernas,inform_symptoms
Prednisona a 2 dias regularmente tomo amitril clonazepan lítio venlafaxina miosan busonid e Dipirona proponalol,inform_medicine
"Dor de cabeça,febre,dor no corpo,gripada",inform_symptoms
"GRAVIDADE MAIOR E A FEBRE, FALTA DE AR E PROSTACAO NAO E ISSO",inform_symptoms
Diante dos relatos posso está com o covid 19???,request_inform
"Nariz entupido, falta de ar.",inform_symptoms
Mais nao fico como se estivesde cansada,inform_symptoms
Não consigo sentir o ar chegar ao meu pulmão,inform_symptoms
No raio x o médico disse q tinha um pouco de secreção .,inform_symptoms
Bom dia Fabiana,greeting
O que posso fazer pra evitar a ida até hospital.,request_inform
Enquanto  isso o q faco com a falta de ar,request_inform
Então pode ser uma gripe ?,request_inform
"Mal estar, desânimo",inform_symptoms
"Cansaço,tosse e febre",inform_symptoms
Leve problema de pressão,inform_symptoms
Hoje estou com um pouco de dor de cabeça,inform_symptoms
Cefalexina,inform_medicine
"Eu to desde domingo cm alguns sintomas Uma queimação na caixa torácica e na garganta Uma moleza enorme calafrios, a noite fica pior... Uma sensação de nariz entupido sem tá...",inform_symptoms
Fiquei febril,inform_symptoms
Estou tossindo e sem paladar e sem olfato,inform_symptoms
Estou usando máscara dentro de casa,inform_symptoms
Msm sentindo calafrios,inform_symptoms
"O meu medo mesmo Dr é porque escuto muita gente dizer que não pode tal remédio, que só pode paracetamol",inform_medicine
"Foi quando ela estava parada, ela diz que é como se fosse um aperto no peito. Aí precisa respirar um pouco mais fundo para poder retomar",inform_symptoms
O teste é feito lá?,request_inform
Estou muito cansada,inform_symptoms
Acordei com febre nesse dia,inform_symptoms
A tarde que bate mais ainda a indisposição,inform_symptoms
Porfavo,request_inform
Esse vírus passa quando dias no organismo?????,request_inform
Mesilato de doxazosina,inform_medicine
Só uma hérnia de hiato,inform_symptoms
Mas o meu esposo hoje começou a ter febre alta,inform_symptoms
Desconforto respiratorio,inform_symptoms
Eu to sentindo falta de ar. E dor de cabeça,inform_symptoms
Remédio pra pressão uso contínuo,inform_medicine
Estou sentindo umas dores no peito,inform_symptoms
"Dor no corpo,..gosto amargo na boca,olhos ardendo,pouca tosse com pouco pigarro",inform_symptoms
De quinta para sexta-feira eu dormi e acordei com febre,inform_symptoms
"Hj estou tossindo, cansaço e continuo sem paladar e olfato",inform_symptoms
Ainda com mal estar,inform_symptoms
Bom dia!! Já tem 3 dias que sinto algum dos sintomas. Como febre e mau estar. Oq devo fazer,request_inform
Só rinite e suspeita de asma,inform_symptoms
Minha vó desmanhou ela tem problema de coração diabete pressão tá cega de um olho,inform_symptoms
"Não , obg que Deus proteja vcs",greeting
Minhas costas dói muito na altura dos rins é uma dor queimando,inform_symptoms
E mesmo sem sentir direito o ssbor da comida eu me alimento super bem e nada de frituras,inform_symptoms
Me passe o número,request_inform
Queria saber se o teste rápido do laboratório particular se ele pode fazer..,request_inform
"Olá, ainda estou com alguns sintomas. Mas tenho algumas dúvidas",request_inform
Os sintomas dele e leve mais fico preocupada de levar ele pra upas,inform_symptoms
Muito obrigado pela ajuda,greeting
Será q minha garganta ainda está inflamada??,request_inform
Preciso de ajuda nesse sentido,request_inform
Tomou dipirona às 7h e tá controlada a febre até agora,inform_medicine
Paracampos tambem e um posto de saude ?,request_inform
Oq você acha?,request_inform
Mas o exame ele já pode realizar?,request_inform
"Ok , obg.",greeting
Estar com 3 dias que não sinto gosto e nem cheiro de nada. Ontem a noite minha têmperatura deu 37.7,inform_symptoms
só que ontem eu fui para o médico né porque eu já tava com 19 dias aí o doutor não me deu alta porque ele disse que eu ainda continuo tossindo  aí me deu mais cinco dias é normal,inform_symptoms
pra fazer o teste é,request_inform
A tosse faz só uns 5 dias,inform_symptoms
Eu não sinto cheiro de nada,inform_symptoms
"Porém, Estou sentindo amargo",inform_symptoms
Nem fadiga nada,inform_symptoms
Depois pensei melhor...Não tomei mais,inform_medicine
"Minha esposa esta aqui, mas nao tem nenhum desses sintomas",inform_symptoms
Estou tomando medicação,inform_medicine
"Oi Adrian, td bem?",greeting
Eu lavo com soro,inform_medicine
Só sinto um pouco de melhora na febre quando tomo paracetamol.,inform_medicine
Estou só tossindo e tive febre,inform_symptoms
So nariz secou e ardenfo,inform_symptoms
Dr tem alguma causa para ansiedade ? Pois foi uma coisa tão inexplicável . Que não faço ideia,request_inform
Só tosse de vez em quando,inform_symptoms
Estou dando 6horas Dipirona,inform_medicine
Pode passar endereço?,request_inform
"tenho sentido uma dor nas costas, na altura dos pulmões, mas acho que pode ser da tosse que se agravou nesses dias aqui",inform_symptoms
Acordei A pouco tempo e estou tossindo um pouco mas geralmente tem um intervalo de 20 a 40 Minutos para eu tossir,inform_symptoms
As mudanças de humor sem motivo e achar que está com vírus mesmo que não esteja   Só sei que isso deve ser da Ansiedade porque já passei por tudo isso antes,inform_symptoms
Já faz mais de uma semana tive febre e um desconforto na barriga mais já passou ! Agora só estou tem o paladar é sem olfato mais venho tomando vitamina C e alguns chás me mantenho isolado,inform_symptoms
Onriagda,greeting
Trabalhei muito não sei se pode ser isso. Cansasso físico,inform_symptoms
Só uma leve dor de cabeça,inform_symptoms
Hoje ainda sinto dor de cabeça mas leve,inform_symptoms
Minha dor e nas costas,inform_symptoms
Estou sentindo febre e dor na garganta,inform_symptoms
Mas sinto falta de ar e meu coração parece que vai faltar pela boca,inform_symptoms
Tudo bem. Obrigada!,greeting
A tá só tenho me sentido as vezes mole,inform_symptoms
E tosse de vez em Qdo,inform_symptoms
Apenas rinite alérgica e sinusite,inform_symptoms
Ok Obrigado Qual quer coisa Aviso vocês.,greeting
Pois foco muito cansada,inform_symptoms
Muito obrigada. Ótimo trabalho pra vocês,greeting
Pois obrigada pela conversa,greeting
Se eu sentir dor de cabeça? Posso tomar dipirona?,request_inform
Em nenhum momento teve febre,inform_symptoms
E Coriza,inform_symptoms
"Pasa a febre, mas demora bastante",inform_symptoms
"Febre, dor de cabeça, dor de garganta e dor no corpo",inform_symptoms
Só um pouco de dor de cabeça e  um leve mal estar,inform_symptoms
Por está no décimo dia o risco de falta de ar?,request_inform
Tá tendo dengue ?,request_inform
E desde a quinta feira passada que estou sem sentir cheiro e gosto de nada,inform_symptoms
Fui ontem.  Infelizmente não fizeram exame.  Só passou Dipirona,inform_medicine
Senti apenas com o toque na pele,inform_symptoms
Qual a temperatura ideal?,request_inform
"Nao tive disgnóstico. 5 dias antes dele tive dor no corpo e dor de cabeça por 4 dias, no quinto tive tambem febre, congestao nasal, nariz escorrendo bem pouco. Tive perda total de olfato,  q notei do quinto para o sexto dia",inform_symptoms
Normalmente ele só vai no posto para aplicar a benzetacil ou no cardiologista,inform_medicine
"Ss,quando eu respiro com a máscara eu sinto ar(isso é normal),é o que me sufoca um pouco,porém quando estou sem máscara, e começo a falar me dá um pouco de falta de ar e fico meio ofegante",inform_symptoms
O que tomo pra melhorar?,request_inform
Estou deitada agora e estou sentindo,inform_symptoms
Vou ao um posto de saúde?,request_inform
ESTOU TOMANDO UM REMEDIO P TOSSE,inform_medicine
quais  as upas,request_inform
"Estou com um pouco de coriza, tosse leve mais seca e com o corpo de dor, mais assim ontem procurei atendimento em uma upa, mais sem sucesso pq tenho pedra na versícula e estou em crise a dias",inform_symptoms
Falta de ar por conta do nariz entupindo,inform_symptoms
"As vezes sentimos a sensação de estar com febre..mas quando checamos a temperatura está abaixo de 37,8",inform_symptoms
Dorona e paracetamol gotas.,inform_medicine
Estou com mi há garganta há 3 semanas irritada,inform_symptoms
E tipo agente consegui inpirar pelo nariz so que com muita dificuldade como se tivesse com uma mais  bem vedada,inform_symptoms
Eu sou asmático,inform_symptoms
Pois a alguns dias venho tendo um pouco de falta de ar,inform_symptoms
"Ele como ja faz uma semana  ñ  esta tendo nem febre,nem dor no corpo e nem tosse..porem a falta de paladar olfato e apetite permanecem",inform_symptoms
A tosse n vem mais com tanta frequência,inform_symptoms
Continuo sem olfato e paladar,inform_symptoms
A doutora me deu paracetamol e azitromicina por 5 dias .,inform_medicine
"Não, obrigado",greeting
Mal estar,inform_symptoms
Sem secreção,inform_symptoms
Tilenol e predinisona,inform_medicine
Ok. Obrigada bom dia,greeting
Mas agora e mais gripe masmo e ñ sente cheiro nem gosto,inform_symptoms
Sim paracetamol 750 mg,inform_medicine
Tenho rinite e suspeita de asma,inform_symptoms
Eu estou neste momento no posto de saúde porque amanheci com desinteria...,inform_symptoms
Só o aceleramento,inform_symptoms
Sensação de febre mais coloco o termômetro e não dá febre,inform_symptoms
"Tenho cansado ao falar, e perdi totalmente o apetite, não sinto gosto da comida e o cheiro eu sinto, mas é pouco.",inform_symptoms
Mas ela suavizou mais,inform_symptoms
Mas não estou sentindo febre e nem dor de cabeça,inform_symptoms
"Sim está , só essa irritação na garganta mesmo",inform_symptoms
Ele não está sentindo dores no corpo e nem na cabeça,inform_symptoms
Não!! Mas sinto dores nas costas e quando respiro fundo,inform_symptoms
Meu marido está com os mesmos sintomas que eu,inform_symptoms
De novo?,request_inform
Desde quarta feira iniciei com uma congestao nazal,inform_symptoms
"Eu tomei Dipirona nos dois primeiros dias e senti que os sintomas deram uma aliviada, mas depois no outro dia volta os sintomas",inform_medicine
Estou dores fortes nas costas e tórax,inform_symptoms
isso tá mim deixando bastante tensa também,inform_symptoms
Mas só constou febre uma vez,inform_symptoms
Ok então fico tentando baixar a febre em casa?,request_inform
Só um pouco ainda com dificuldade de respirar,inform_symptoms
Tudo bem. Muito obrigada,greeting
"Devemos isolá-lo imediatamente, então, certo?",request_inform
Agora por volta de 6:00 tomei novamente dipirona e um chá daqueles de sachê,inform_medicine
"Sim, febre e dores no corpo",inform_symptoms
Se meu cansaço começar a ficar mais intenso tenho q ir a upa?,request_inform
Não sinto febre nem dor de cabeça nem falta de ar.,inform_symptoms
Estou com muita secreção  no meu peito,inform_symptoms
Nao foi a primeira vez que usei esse suplemento,inform_medicine
1 vez ao dia?,request_inform
E incansávelmente eu busco respostas positivas,or
"Sim, obrigada",greeting
"Tosse mais muito pouca , dor de garganta teve ontem mais passou",inform_symptoms
"E quanto a minha filha de 5 anos, ela teve quentinha 2 dias e está tossindo",inform_symptoms
"Depois ela passou, e no caso da mãe passou total, em mim eu fiquei com dor de garganta",inform_symptoms
Mas quando toma dipirona demora mais a ter outra febre,inform_symptoms
Teria alguma forma de eu distingir esses dias,request_inform
e queimação ao respirat,inform_symptoms
me sentindo mal agira,inform_symptoms
Devo toma paracetamol  pra dor no corpo ?,request_inform
Tô com muito cansada,inform_symptoms
Estou gelada,inform_symptoms
Ele ontem não sentiu febre a noite,inform_symptoms
Não piora e nem melhora. Tenho que puxar até o final a respiração,inform_symptoms
Obstrução nasal,inform_symptoms
Mais estão falando que tem gente que não dar febre da logo tosse e falta de ar,inform_symptoms
"Não tenho tosse, gripe e nem febre",inform_symptoms
"Febre diminuiu, mais paladar e olfato, continuou sem",inform_symptoms
"Bom dia Barbara.To com dor no corpo, uma leve dor de cabeça e dor na garganta",inform_symptoms
"Ela disse que estava sentindo mal estar e dor na barriga desde sábado tbm , mas, não sei se se caracteriza como sintomas de covid",inform_symptoms
Estou tomando muito líquido,inform_medicine
Um secrecao q sinto do nariz e como se escorresse para a garganta e faz tipo um estalo como se fosse catarro preso,inform_symptoms
Um pouco gripada,inform_symptoms
