txt,label,correct_label,used_intents,intents
Espero melhorar logo entao,inform,,,
Sábado começou o desconforto na respiração,inform,,,
Acho que vou fazer o exame. Tenho 55 anos e sou hipertensa...Nervosa...,inform_symptoms,,,
Oi eu estou com gripe  nariz escorrendo um pouco de febre,inform_symptoms,,,
"Estou bem apenas com folego curto, mas estou me cuidando e me alimentando bem",inform_symptoms,,,
Um médico amigo meu,inform,,,
"Prq assim, meu tio é do grupo de alto risco, não tenho contato com ele, ele mora na messejana e foi diagnosticado ontem com COVID, os remédios que foram passados para ele foram praricamente os mesmos que lhe informei que estou tomando, menos o PULMICORT...",inform_symptoms,,,
Entendi. Eu vou iniciar o isolamento dentro de casa imensamente. Mas comigo mora minha vó de 77 ano e minha filha de 7 anos que tem asma e já teve pneumonia 7 vezes. Elas não apresentam nenhum sintoma . Mesmo assim devo me preocupar por elas terem tido contato comigo até agora?,inform_symptoms,,,
Muito obg por me  informar,greeting,,,
Sim..sabado,inform,,,
Tomei de manhã,inform,,,
GRACAS A DEUS N TENHO FEBRE,inform_symptoms,,,
Eu posso tomar azitromicina,request_inform,,,
Somente quando começa a falar surge uma tosse,inform_symptoms,,,
Nossa! Pq?,request_inform,,,
Você tem como informar se na rede pública estão realizando testes rápidos ou apenas o pcr?,request_inform,,,
Sou alérgico a vários remédio,inform,,,
"""Bom, eu não tenho certeza se estive realmente em contato com pessoas infectadas, mas veio uma amiga minha e ela relatou que o irmão dela (21 anos) e o pai (acima de 30 anos), estavam sentindo febre a exatas duas semanas, febre direto.  E essa minha amiga não apresentou sintomas, pelo menos não no dia que ela veio.  Será que por mais que eu tenha """"entrado"""" em contato eu deveria fazer um teste pra saber?!""",request_inform,,,
To muito nervosa,inform_symptoms,,,
E ela até ontem,inform,,,
Olha tem momentos q sinto,inform,,,
É de alto risco,inform,,,
Esses dias,inform,,,
Tô tendo que fazer isso sentada e bem lentamente,inform,,,
Pra tirar essas coisas da minha cabeça,inform,,,
ok obgd,inform,,,
Dia 30 de abril.,inform,,,
Nariz entopi,inform_symptoms,,,
Eu sou Edson,inform,,,
To aqui desesperada achando q to com convid,inform,,,
Na emergência não esperei pra mostrar o exame pq fiquei com muito medo de ficar lá,inform,,,
Com quem falei?,request_inform,,,
Diarreia,inform_symptoms,,,
"Mais alguma coisa , alguma recomendação?",request_inform,,,
Ele tem.67 anos,inform,,,
Um ótimo dia pra vc tbm!,greeting,,,
Com a fraqueza,inform_symptoms,,,
Nao sentem gosto nem cheiro,inform_symptoms,,,
Mas graças a Deus não tive nenhuma reação ruim após o uso,inform,,,
Hoje é o terceiro,inform,,,
Toma todos os dias,inform,,,
Ver Tô,inform,,,
Sensaçao de desmaio,inform_symptoms,,,
Não.... Assim tenho 9 tipos de alergias,inform_symptoms,,,
Em que temperatura tomo o remedio?,request_inform,,,
Ele mesmo está com medo de atendimento medico,inform,,,
E o Piemonte posso ou não tomar .,request_inform,,,
Indica algum remédio?,request_inform,,,
Há tenho tanto medo,inform_symptoms,,,
Espero que isso acabe logo,inform,,,
Pra ir,inform,,,
Tô com medo de contamina minha tia que cuida de mim,inform_symptoms,,,
Creio que começou segunda feira passada com uma falta de ar pela tarde,inform_symptoms,,,
Água de Coco posso tbm ?,request_inform,,,
Garganta como se tivesse bloqueada,inform_symptoms,,,
Semana passada senti 2 dias de fortes dores na nuca,inform_symptoms,,,
eu queria tirar duvidas sobre os sintomas da covid-19,request_inform,,,
"Mas, não soube responder",inform,,,
Ou melhor no posto,inform,,,
36.5 de manhã,inform,,,
Moleza no corpo e dor de garganta,inform_symptoms,,,
Não fui. Estou em casa,inform,,,
"Estou me concentrando muito na respiração, queria saber se isso pode estar ajudando à piorar",request_inform,,,
Neosoro,inform_medicine,,,
De gripe sim,inform,,,
Ontem meu alfato começou ficar falho,inform_symptoms,,,
"Oi, eu tenho me sentido mal faz uns quatro dias, como tenho asma, imagino que seja uma gripe comum ou crise alérgica",inform_symptoms,,,
"Fica só pesada a respiração, aí paro um pouco, coloco neosoro e vai melhorando",inform_symptoms,,,
O quadro foi colocado como renite,inform_symptoms,,,
"E como ele tem 64 anos, evito ficar perto dele,",inform,,,
E tomo todo cuidado,inform,,,
Durante esses dias fiquei como se estivesse depressiva,inform_symptoms,,,
Pouco de cansaco e fraqueza.,inform_symptoms,,,
Só mesmo ontem a noite e na sexta a noite tb,inform,,,
"Entre 37,8 e 38,2",inform,,,
Sabe q tem q ficar em casa,inform,,,
Ela tem plano,inform,,,
Se não me falha a memória,inform,,,
Posso fazer nebulização ?,request_inform,,,
Né verdade ????,request_inform,,,
Que eu lembre,inform,,,
Renite e sinusite,inform_symptoms,,,
Bebo muita água,inform,,,
Na minha casa tenho 3 crianças,inform,,,
É recomendável fazer o teste depois de quantoos dias?,request_inform,,,
ESSA TOSSE COM CATARRO,inform_symptoms,,,
"e fiquei tomando o anticoncepcional pra controlar estava namorando, mas ñ estou e qdo eu comecei a sentir um mal estar parei de tomar",inform_medicine,,,
Tusso às vezes e sem secreção,inform_symptoms,,,
Tá com 6 anos que eu fiz a cirurgia,inform,,,
Vou ver com minha chefe,inform,,,
Uns 4min da minha casa..,inform,,,
Mas pode serpor causa da febre tanbem,inform_symptoms,,,
Acho que isso contribui pra algumas coisa que eu sinto hoje,inform,,,
"A minha é de 37,4 não passou disso e só senti uma vez",inform_symptoms,,,
Mas estou sob efeito de paracetamol a cada 6hs,inform_medicine,,,
"Na coluna ,nas costelas,até a pele do corpo sinto muito dolorida",inform_symptoms,,,
Precisa puxar mais um pouco de ar.,inform,,,
"Um pouco preocupado por conta dos meus pais que estão dentro da zona de risco, mas dentro do que possível estou isolado.",inform,,,
Porem n fiz exames,inform,,,
Alerg9as alimentares,inform,,,
Espero que nao seja preciso. Boa Noite,inform,,,
Eu acho que falta oxigênio na minha cabeça,inform_symptoms,,,
"Tenho que usar outro celular, como faço?",request_inform,,,
Mas não no nível que estou nesse momento,inform,,,
"Depois disso ela passou a falar coisas sem sentido por exemplo, que tinha ligado para o mercantil proximo pedindo um garrafao d'agua, sendo que nao pediu",inform,,,
Sou filho dela e trabalho em hospital.,inform,,,
Muito ansiosa não consigo dormir a noite.  Sinto muito angústia tem dias. Sempre fui muito preocupada.,inform_symptoms,,,
tenho outra pergunta,request_inform,,,
Mas ainda fraco,inform,,,
"Me sinto cheio, como se fosse gases",inform_symptoms,,,
Sai pra alguns lugares no interior estou com medo de estar com covdi19,inform,,,
Hoje pq me senti mal e levei uma queda,inform,,,
Dia 30/04 eu já sentia febre e dor no corpo,inform_symptoms,,,
Tenho 40 anos,inform,,,
Mas dentro de casa tenho q cuidar dele,inform,,,
"Tem possibilidade de ser algum processo alérgico? Os sintomas do covid nos tivemos,eu apresentei até primeiro que ela, mas antes disso ela já estava com tosse persistente",request_inform,,,
Na Quarta,inform,,,
"Quase todo dia, mas não é toda hora",inform,,,
Eu já tive há anos atrás 3 anos consecutivos de pneumonia,inform_symptoms,,,
Caso ela tenha febre posso dar paracetamol? Os postos só atendem amanhã,request_inform,,,
"No dia 16 de abril senti os primeiros sintomas, fui na UPA, fiz exame de sangue e minha plaquetas deram no limite 150000. Fiquei em casa até o dia 26 e voltei para trabalhar no dia 27. Acredito que a dengue já estava curada.",inform,,,
Há realmente a possibilidade de que esses sintomas sejam relativos ao covid?,request_inform,,,
Ate pq pode nao ser,inform,,,
Só mal estar,inform_symptoms,,,
Ela tem problemas de diabete e hipertensa,inform_symptoms,,,
"E ja melhoro , pq eu tava achando que eu ia morrer",inform,,,
Não fui a nenhum médico,inform,,,
Pq tô assustado com a taxa de infecção em upas,inform,,,
DEUS tenha misericórdia de nós pq saúde pública não existe mais por isso se alastrou,inform,,,
Ele sente um cansaço as vezes e noto que puxa bem o ar quando ele pouco anda,inform_symptoms,,,
Mais d 15,inform,,,
Como eu falei por dentro sim,inform,,,
Ele disse q a garganta não está tão inflamada mas sente incômodo,inform_symptoms,,,
Todos os dias,inform,,,
Respirando normal,inform_symptoms,,,
Não consigo respira pelo nariz só pela boca,inform_symptoms,,,
Agora o q mais incomoda é sentir o gosto das coisas e nem o cheiro,inform_symptoms,,,
Um pouco de cansaço,inform_symptoms,,,
Já estou fazendo isolamento  Mas moro em apartamento pequeno Minha filha pequena so quer tá em cima de mim. Ta difícil me isolar aqui. Mas estou tentando Estou de máscara todo o tempo tbm,inform_symptoms,,,
Pergunto se o meu quadro pode sair de leve para moderado...,request_inform,,,
Posso tomar AS,request_inform,,,
Vai demorar muito pra voltar a sentir cheiro,request_inform,,,
Só um pouco de momeza no corpo,inform_symptoms,,,
Ela disse que não,inform,,,
Tá sem se alimentar,inform,,,
Quase o tempo todo. Ela passa alguns minutos depois vem e tenho que puxar muito o ar pra conseguir a inspiração completa,inform_symptoms,,,
Tomei Dipirona e multigripe,inform_medicine,,,
Fora essa cobrança e exaustão por esse motivo,inform,,,
Entre 38º e 39º,inform,,,
Meu maior medo é com a saúde das minhas duas filhas,inform,,,
Quero estar deitado 24h00,inform,,,
"Queria, mas eu não sei como",inform,,,
E a mais nova,inform,,,
"Não, não cheguei a procurar atendimento médico",inform,,,
Conjunto esperança,inform,,,
Estão fazendo muito pouco,inform,,,
"estou indo ne, melhor se nao tivesse com essa perca de olfato e paladar",inform_symptoms,,,
Pra conseguir agendar a consulta?,request_inform,,,
Posso passar álcool em gel no rosto?,request_inform,,,
Na entubação,inform,,,
"Tá, mas já venho fazendo isso",inform,,,
Existe algum protocolo desse atendimento?,request_inform,,,
"Cuido da minha mãe,  idosa tem problema de mal de parkson",inform_symptoms,,,
Todos os posto de saúde estão atendendo?,request_inform,,,
Tá passando,inform,,,
Azitromicina 500,inform_medicine,,,
Nariz ecorrendo sem tose,inform_symptoms,,,
"Preciso retornar ao médico, pois trabalho e preciso levar o atestado.",inform,,,
"Eu estou com dúvidas pq eu tenho uns problemas pra liberar gases por aroto e esse dias eu não tenho conseguido, já tomei água com gás, e faz uns 4 dias que não estava conseguindo ir ao banheiro, mas hoje consegui, mas ainda sinto a falta de ar e o cansaço",inform_symptoms,,,
Só quem mim passa medicação é o clínico mesmo,inform,,,
Tenho problema renal,inform_symptoms,,,
Mas a dois dias atras eu tirei e deu 38.2,inform,,,
Então devo ir no posto pegar o atestado e ficar em casa?,request_inform,,,
Mais de mês,inform,,,
Vai prejudicar o tratamento porque não estou tomando o tamiflu?,request_inform,,,
Só que nesse o uso aparece como pediátrico tbem e acima de 6 anos,inform,,,
Estou tossindo,inform_symptoms,,,
Já conversei e não dou jeito,inform,,,
Pressão alta 15.9,inform_symptoms,,,
Ando tentando me controlar,inform,,,
Esrou me sentindo melhor,inform,,,
"Sim, pra ele não desidratar.",inform,,,
"Sim, lantus (no jejum) 58 UI",inform,,,
Os postos também não está recebendo ninguém,inform,,,
hoje estou bem só com a garganta coçando,inform_symptoms,,,
ele teve contato com uma moça próxima q teve confirmação de corona tambem,inform,,,
em repouso,inform,,,
O médico passou um remédio que não dá no posto,inform,,,
Hj está reclamando muito de dor no peito esquerdo na parte superior,inform_symptoms,,,
Confirmado não,inform,,,
"Moderada, mas muito seca",inform_symptoms,,,
Me responde,inform,,,
Veio intensificar a dor no corpo ontem e hoje...mas da dor da garganta estou melhor,inform_symptoms,,,
Tomei as 10 hrs,inform,,,
só preciso de algumas orientações,request_inform,,,
não faço  uso de nenhum tipo de medicamento,inform,,,
Umas 2 vez apenas,inform,,,
"Acho que preferia que o covid19 me leva, porque, com 53 anos estou perdendo tudo, meu comércio e meu ganha pão, vivo do que produz, e a um ano atrás perdi o amor da minha vida, meu companheiro, depois de 35 anos juntos, e agora estou isolada com alguns sintomas dessa doença horrível, tenho dois filhos, que não precisam mais de mim pra viver,",inform_symptoms,,,
Só posso tomar dipirona se caso tiver febre,request_inform,,,
Posos tomar bromazepan?,request_inform,,,
"Tive uma gripe a uns dias atrás que durou uns 3 dias, porém ainda estou sem sentir gosto e cheiro",inform_symptoms,,,
So quando fico doente só quando fico engripado,inform_symptoms,,,
Tô com vírus?,request_inform,,,
Eu já estava passando álcool em tudo antes,inform,,,
Fico pensando,inform,,,
Posto não tinha medico pra atender só enfermeiro,inform,,,
"não , as vezes sinto a respiração ofegar quando vou tomar banho",inform_symptoms,,,
Qual tipo de xarope posso tomar pra aliviar a tosse,request_inform,,,
"Durante o dia estava 35, 36",inform,,,
Mas eu estava treinando quase todos os dias msm quando não estava tão disposta pra isso,inform,,,
a dierra,inform_symptoms,,,
Ou falso positivo,inform,,,
Só que aqui não tinha termômetro pra medir,inform,,,
Quanto eu me levanto,inform,,,
E minha pressão normalmente é baixa,inform_symptoms,,,
Entendo...!,inform,unknown,,
Faço o que,request_inform,,,
"Sinto dificuldade em respirar, posso tomar aerosol?",request_inform,,,
Pijama e com meias,inform,,,
É bem próximo daqui,inform,,,
"Sim, estou cuidado dele..",inform,,,
Nao. Mas sinto a respiracao ofegantes,inform_symptoms,,,
Eu ainda sinto um pouco de cansaço mas é muito pouco mesmo,inform_symptoms,,,
ainda não,inform,,,
Mais estou melhor hoje sim,inform,,,
Mandaram tomar remédio voltar caso a febre voltasse,inform,,,
Há dois dias não consigo sentir cheiro e nem sabor dos alimentos? O que eu tenho?,request_inform,,,
"Sim, só que não é sem parar",inform,,,
O posto faz exame?,request_inform,,,
Quando fico nervosa,inform,,,
Sinto indisposição,inform_symptoms,,,
Uma pontada no lado esquerdo do peito,inform_symptoms,,,
Um pouco depois volta.,inform,,,
indisposição.,inform_symptoms,,,
Eu espirrei no primeiro dia e tossi com catarro mais não é constante,inform_symptoms,,,
Fiquei em isolamento   Sim já estou melhor dos sintomas,inform,,,
Nao paro de pensar mas nao melhora,inform,,,
Será q hj tem atendimento nos postos de saúde?,request_inform,,,
Eu choro constantemente,inform_symptoms,,,
Amanhã de qualquer forma irei no caps,inform,,,
Sera q pode ser nervo,request_inform,,,
"Como tenho 70  anos, devo procurar atendimento em algum posto?",inform,,,
Casa,inform,,,
"Mas eu tenho sinusite, acho q é por isso",inform_symptoms,,,
"É cheia, já estou tomando azitromicina há 3 dias",inform_medicine,,,
E mesmo assim o enfermeiro nos mandou embora,inform,,,
Tomo Dipirona,inform_medicine,,,
Mais do lado direito,inform,,,
Eu poderia praticar a meditação antes de sentir a falta de ar?,request_inform,,,
Perdi o olfato. Tô com muita dor de cabeça. Dor no corpo. Febre passou.,inform_symptoms,,,
"Sim, irei hj a tarde",inform,,,
Sou obeso.,inform,,,
Para melhor a respiração tenho q tomar algum remédio.,inform_symptoms,,,
Muita gente,inform,,,
Levanto e o mundo roda em torno de mim.,inform_symptoms,,,
No momento  ñ,inform,,,
Quase n saímos mais de casa desde o início da Pandemia,inform,,,
"Pois é, isso que eu também tenho",inform,,,
Tipo multi grip,inform_symptoms,,,
Estamos tds agora usando máscara,inform,,,
Tenho dois filhos,inform,,,
Tenho virus da herpes e tenho gastrite cronica,inform_symptoms,,,
Tomei Tylenol ontem,inform_medicine,,,
Antes do dia 26 já estava assim,inform,,,
Só mais uma coisa. Hije faz 5 dias. É recomendável fazer esse teste hoje ou espero mais uns dias,request_inform,,,
Obrigado pela as orientações,greeting,,,
Os dois,inform,,,
Por isso que eu estou falando com vcs,inform,,,
Estou sentindo muita nausea ai ja penso que é covid,inform_symptoms,,,
Estou no quarto,inform,,,
"Tá, o olfato e paladar só perdi 5 dias depois do primeiro sintoma",inform_symptoms,,,
e ele com 5,inform,,,
"Não sei se tive contato, fui em supermercado a dias atrás",inform,,,
Queria saber se tem como pelo menos a idosa fazer o teste do coronavírus,request_inform,,,
"Desculpa, acho que minha internet tá muito ruim",inform,,,
Entendi ..tenho Dipirona em casa....mas não utilizei ainda pois não senti nem dor nem febre,inform_symptoms,,,
Apenas sinusite,inform_symptoms,,,
Eu ja falei com vocês antes.  15/07/87,inform,,,
"Senti um pouco ontem a noite,  por isso tive dificuldades de dormir",inform_symptoms,,,
"Não,apenas quando sentia dores na coluna.",inform_symptoms,,,
"estão tendo febre toda tarde ,moleza no corpo",inform_symptoms,,,
Quando a gente está meio tonto pode ser o que ?,request_inform,,,
Minha febre aumentou para 37.9,inform,,,
To com alcool gel sempre do meu lado,inform,,,
"Amém, to tentando demais",inform,,,
Se eu sentir dor de cabeça? Posso tomar dipirona?,request_inform,,,
"E com isso eu vou aprofundando, aprofundando.. vão vindo mais pensamentos,  sobre n coisas... Minha cabeça não para de pensar e eu tenho essas crises.",inform,,,
E ñ tô isolamento domiciliar ñ,inform,,,
De ter piora,inform,,,
Não. Ele não tá comendo bem,inform,,,
Ele disse que era,inform,,,
Tenho dorflex comprimidos. Posso tomar?,request_inform,,,
"Minha BB ,o de 4 e o de 6 estão com nariz escorrendo",inform_symptoms,,,
Mas sempre temos contato uma com as outras,inform,,,
Pelo que descrevi vc qcha q pode ser o Covid,inform,,,
De como era minha vida antes e que uma hora isso vai passar e eu vou volta com a minha vida de antes,inform,,,
"Se a febre permanecer, sem a falta de ar ?",request_inform,,,
E agora começou muita dor no corpo e uma gripe,inform_symptoms,,,
Quanto mg de dipirona?,request_inform,,,
Só Dipirona  tomei drami hoje,inform_medicine,,,
Eu faria o exame?,request_inform,,,
A maioria dos sintomas do virus,inform_symptoms,,,
Mais tento me informar por aqui,inform,,,
E tô tomando chá mate pra aliviar meu colesterol,inform_medicine,,,
Não preciso ir na emergência?,request_inform,,,
"Muitíssimo agradecido, parabens pela disposição",greeting,,,
"O medico psiquiatra que a acompanha, afirmou que a confusao poderia ser pelo uso da prednisona, o medicamento que estavamos dando para controlar os sintomas",inform_medicine,,,
E hoje se agravou mais,inform,,,
Oi Felipe :),greeting,,,
Meche com nossa cabeça,inform,,,
Muito frio ate durante o dia,inform_symptoms,,,
To muito  feliz de verdade pois foi Deus que colocou  vocês  ai pois eu tava com depressão  medo choro de tanto medo dessa doença  mais vocês me acalmaram  so muito grata por todo,inform_symptoms,,,
Ficar ocilando sobe e desce,inform,,,
Esse cansaço é persistente ou ele pode passar?,request_inform,,,
Jogar,inform,unknown,,
O medico passou remedio,inform_medicine,,,
"Estou somente um pouco de tosse , mas estou bem agora ...",inform_symptoms,,,
Ernia,inform_symptoms,,,
Temos convênio Unimed,inform,,,
Uma dor nao tao grande no pulmao/dorsal direito,inform_symptoms,,,
Febre começou hj as 9 hrs. Agora está voltando . Tomei dipirona as 10,inform_medicine,,,
"Meu irmão me passou o número , uma forma de não se apavorar mais , já que as UPAs estão lotadas , os sintomas já tem alguns dias.",inform,,,
Meu marido desde ontem tbm adoeceu,inform_symptoms,,,
Nem com ele e nem com a família dele,inform,,,
Tenho um amigo q recebeu a visita de equipe em sua residência,inform,,,
Passo gelol todo dia,inform,,,
O que já fiquei boa,inform,,,
Sum,inform,unknown,,
Depois volta,inform,,,
Vc sabe dizer se é ordem de chegada?,request_inform,,,
Pra nao piorar fico puxando conversa com minha mae,inform,,,
Mas Não está atendendo,inform,,,
Por favor me desculpe mas estou com muito medo,inform,,,
Não. Pq o meu termômetro tá com defeito,inform,,,
Ela pegou em poeira hj de manhã,inform,,,
To me forçando a comer porque não sinto fome,inform_symptoms,,,
"Não, a primeira vez",inform,,,
"Gripe normal.  Além da dor, agora só esse peso ao respirar, dor de cabeça, vontade de vomitar e diarréia.",inform_symptoms,,,
Na nuca Nunca senti Sempre senti dentro do olho quando era enxaqueca,inform_symptoms,,,
No caso estou com receio em ir no upa do jangurussu,inform,,,
Em relação aos outros sintomas.. Eu não ligo muito.. Tô bem.. Mas a dor que me preocupa.. É sinal de piora?,request_inform,,,
A família aqui toda está com suspeita de covid,inform_symptoms,,,
Isso cai como uma bomba pra mim,inform,,,
Hj comecei a sentir novamente,inform_symptoms,,,
Só sentindo frio,inform_symptoms,,,
A dor é abaixo do peito e não há falta de ar,inform_symptoms,,,
"Se precisarmos, temos que ir pra Upa?",request_inform,,,
Dei um coxilo e acordei sentindo meu corpo treno,inform_symptoms,,,
Mas ela Me falou que logo volta ao normal,inform,,,
Só respiro pela boca,inform_symptoms,,,
O médico não quis me dar,inform,,,
Ok! Mas onde poderia conseguir realizar o teste pra COViD,request_inform,,,
hoje eu to com mal estar e to meio puxando o ar,inform_symptoms,,,
Idade 48,inform,,,
Morreu duas agentes de saúde,inform,,,
BOA TARDE,greeting,,,
A temperatura??,request_inform,,,
Me ajudou bastante,inform,,,
E eu mesmo estou limpando eles,inform,,,
Tive febre dois dias,inform_symptoms,,,
Procuro manter o máximo de cuidado,inform,,,
"Teve muita dor no corpo, febril e agora c tosse",inform_symptoms,,,
Porém o médico já tinha saído e pediram pra ele retornar amanhã pela manhã,inform,,,
Cansaco fisico mesmo,inform_symptoms,,,
Respiração quente,inform_symptoms,,,
Pq já tomei remédio para melhorar .,inform_medicine,,,
Mais pelo pequeno período,inform,,,
"E faz uso constante de Artrolive, por conta de uma lesão no joelho",inform_medicine,,,
Tenho medo do exame,inform,,,
Estou tomando bastante vitamina c,inform_medicine,,,
Parado não,inform,,,
"Falta de ar,dor nas articulações tontura dor de cabeça falta de paladar e ofato",inform_symptoms,,,
"Tbm tive diarréia em um dia, com chá de boldo melhorei.",inform_symptoms,,,
Náuseas..mas por enquanto só um embrulho no estômago. Cheguei a tomar dramim e vonal,inform_symptoms,,,
"Senti qdo tive a crise de tosse, pq tossi muito e cansei",inform_symptoms,,,
Nao...comecei a sentir quando o médico mim.falou q poderia estar contaminado,inform,,,
Pois é ela não ouce nimguem,inform,,,
Como um atendente já tinha falado aí eles só fazem exames em pasciente graves então se eu for não vai adiantar nada então melhor ficar em casa,inform,,,
Ansiedade apenas.  Tomo alprazolan,inform_medicine,,,
"Não fui ao médico, Pensei ser um resfriado",inform_symptoms,,,
Eu paro e volto para cama,inform,,,
Mas vou fazer assim,inform,,,
Um pouco 36.meio,inform,,,
Tô meio que apavorada,inform_symptoms,,,
Hoje pela manhã me controle mais e está melhorando,inform,,,
Nessse momento,inform,,,
Está 38.2,inform,,,
O meu pai esta doente,inform_symptoms,,,
Sim  ansiedade e que eu quero fica bom dessa coisa que tá aparecendo,inform_symptoms,,,
"Muita tosse (seca) muita dor no corpo. Confusão mental durante a noite, soando muito durante a noite.  Ainda não foi ao médico. Começou já está. Com 3 dias",inform_symptoms,,,
A moça mim falou ontem,inform,,,
E Estou isolado de todos,inform,,,
O difícil é ser atendida lá,inform,,,
Tenho plano de saude,inform,,,
E se a tosse persistir no período de 14 dias?? Pode tomar algum xarope? Ou é melhor procurar o posto de saúde mais próximo?,request_inform,,,
Mais de 6,inform,,,
Devido estar com a suspeita do vírus,inform,,,
Consigo sin,inform,,,
Obrigado pela atenção Valeska. Que Deus abençoe vc e a todos os profissionais da saúde.,greeting,,,
Fiz gargarejo com agua morna e vinage e sal melhorou bastante,inform_medicine,,,
Sintomas de covid,inform_symptoms,,,
estamos bem preocupados,inform,,,
Sobre o medo que estou!,inform,,,
Minha esposa,inform,,,
A senhora pode me informar por favor,request_inform,,,
"Não, notei que ela estava quente e dei Dipirona a ela",inform_medicine,,,
Uma sensação estranha no corpo,inform_symptoms,,,
"Não, Deus abençoe vocês.",greeting,,,
Sentindo também uma pressão no peito,inform_symptoms,,,
Minha vó desmanhou ela tem problema de coração diabete pressão tá cega de um olho,inform_symptoms,,,
Onriagda pela atenção,greeting,,,
E nem ofegante,inform_symptoms,,,
"Idade: 66; Problemas de Saúde: Comprometimento Respiratório, Síndrome de Sjogren, Hipotireoidismo; Contato: não; Medicamento: vários Azatioprina, HIDROXICLOROQUINA, Prednisona, Omeprazol, Euthyrox; Febre: 2 dias; Falta de ar: cansaço. Já sentiu antes; Sintomas nós últimos 14 dias: tosse, espirro, febre.",inform_medicine,unknown,,
Eu comecei a me sentir febril,inform_symptoms,,,
Ontem Ela soltou uns pus muito podre,inform_symptoms,,,
"Eu tenho duvida em relação a esses sintomas, se tem os dias que eles aumentam ou continua assim mesmo?",request_inform,,,
Por que não tenho termômetro em casa,inform,,,
"Tem de uns 7 a 10 dias, por ai",inform,,,
"Desde sexta-feira sinto sintomas de gripe, resfriado",inform_symptoms,,,
Vou ao posto de saúde logo tbm,inform,,,
"O que piora é meu pai me pressionando, falando coisas que me deixam pra baixo",inform,,,
Só dois,inform,,,
Posso está com o Vírus?,request_inform,,,
Desde quando começou a pandemia eu já fui ficando meio que assustado meio que neurótico com os cuidados,inform_symptoms,,,
Tava tipo uns 115bpm,inform,,,
Não estou conseguindo se alimentar direito,inform_symptoms,,,
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.",inform_medicine,,,
Não sei se é uma virose que eu possa tratar em casa ou se devo ir ao médico devido eu também ter lúpus,request_inform,,,
