txt,label,correct_label,,,,,used_intents,intents
"Eu tenho problemas de pressão baixa, então hoje tentei fazer o almoço mas senti minha vista escurecer e quase caia perto do fogão.",,,,,,,,
So o Neosoro msm,,,,,,,,
Espero melhorar logo entao,,,,,,,,
Sábado começou o desconforto na respiração,,,,,,,,
Acho que vou fazer o exame. Tenho 55 anos e sou hipertensa...Nervosa...,,,,,,,,
Oi eu estou com gripe  nariz escorrendo um pouco de febre,,,,,,,,
"Estou bem apenas com folego curto, mas estou me cuidando e me alimentando bem",,,,,,,,
Um médico amigo meu,,,,,,,,
"Prq assim, meu tio é do grupo de alto risco, não tenho contato com ele, ele mora na messejana e foi diagnosticado ontem com COVID, os remédios que foram passados para ele foram praricamente os mesmos que lhe informei que estou tomando, menos o PULMICORT...",,,,,,,,
Entendi. Eu vou iniciar o isolamento dentro de casa imensamente. Mas comigo mora minha vó de 77 ano e minha filha de 7 anos que tem asma e já teve pneumonia 7 vezes. Elas não apresentam nenhum sintoma . Mesmo assim devo me preocupar por elas terem tido contato comigo até agora?,,,,,,,,
Muito obg por me  informar,,,,,,,,
Sim..sabado,,,,,,,,
Tomei de manhã,,,,,,,,
GRACAS A DEUS N TENHO FEBRE,,,,,,,,
Eu posso tomar azitromicina,,,,,,,,
Somente quando começa a falar surge uma tosse,,,,,,,,
Nossa! Pq?,,,,,,,,
Você tem como informar se na rede pública estão realizando testes rápidos ou apenas o pcr?,,,,,,,,
Sou alérgico a vários remédio,,,,,,,,
"""Bom, eu não tenho certeza se estive realmente em contato com pessoas infectadas, mas veio uma amiga minha e ela relatou que o irmão dela (21 anos) e o pai (acima de 30 anos), estavam sentindo febre a exatas duas semanas, febre direto.  E essa minha amiga não apresentou sintomas, pelo menos não no dia que ela veio.  Será que por mais que eu tenha """"entrado"""" em contato eu deveria fazer um teste pra saber?!""",,,,,,,,
To muito nervosa,,,,,,,,
E ela até ontem,,,,,,,,
Olha tem momentos q sinto,,,,,,,,
É de alto risco,,,,,,,,
Esses dias,,,,,,,,
Tô tendo que fazer isso sentada e bem lentamente,,,,,,,,
Pra tirar essas coisas da minha cabeça,,,,,,,,
ok obgd,,,,,,,,
Dia 30 de abril.,,,,,,,,
Nariz entopi,,,,,,,,
Eu sou Edson,,,,,,,,
To aqui desesperada achando q to com convid,,,,,,,,
Na emergência não esperei pra mostrar o exame pq fiquei com muito medo de ficar lá,,,,,,,,
Com quem falei?,,,,,,,,
Diarreia,,,,,,,,
"Mais alguma coisa , alguma recomendação?",,,,,,,,
Ele tem.67 anos,,,,,,,,
Um ótimo dia pra vc tbm!,,,,,,,,
Com a fraqueza,,,,,,,,
Nao sentem gosto nem cheiro,,,,,,,,
Mas graças a Deus não tive nenhuma reação ruim após o uso,,,,,,,,
Hoje é o terceiro,,,,,,,,
Toma todos os dias,,,,,,,,
Ver Tô,,,,,,,,
Sensaçao de desmaio,,,,,,,,
Não.... Assim tenho 9 tipos de alergias,,,,,,,,
Em que temperatura tomo o remedio?,,,,,,,,
Ele mesmo está com medo de atendimento medico,,,,,,,,
E o Piemonte posso ou não tomar .,,,,,,,,
Indica algum remédio?,,,,,,,,
Há tenho tanto medo,,,,,,,,
Espero que isso acabe logo,,,,,,,,
Pra ir,,,,,,,,
Tô com medo de contamina minha tia que cuida de mim,,,,,,,,
Creio que começou segunda feira passada com uma falta de ar pela tarde,,,,,,,,
Água de Coco posso tbm ?,,,,,,,,
Garganta como se tivesse bloqueada,,,,,,,,
Semana passada senti 2 dias de fortes dores na nuca,,,,,,,,
eu queria tirar duvidas sobre os sintomas da covid-19,,,,,,,,
"Mas, não soube responder",,,,,,,,
Ou melhor no posto,,,,,,,,
36.5 de manhã,,,,,,,,
Moleza no corpo e dor de garganta,,,,,,,,
Não fui. Estou em casa,,,,,,,,
"Estou me concentrando muito na respiração, queria saber se isso pode estar ajudando à piorar",,,,,,,,
Neosoro,,,,,,,,
De gripe sim,,,,,,,,
Ontem meu alfato começou ficar falho,,,,,,,,
"Oi, eu tenho me sentido mal faz uns quatro dias, como tenho asma, imagino que seja uma gripe comum ou crise alérgica",,,,,,,,
"Fica só pesada a respiração, aí paro um pouco, coloco neosoro e vai melhorando",,,,,,,,
O quadro foi colocado como renite,,,,,,,,
"E como ele tem 64 anos, evito ficar perto dele,",,,,,,,,
E tomo todo cuidado,,,,,,,,
Durante esses dias fiquei como se estivesse depressiva,,,,,,,,
Pouco de cansaco e fraqueza.,,,,,,,,
Só mesmo ontem a noite e na sexta a noite tb,,,,,,,,
"Entre 37,8 e 38,2",,,,,,,,
Sabe q tem q ficar em casa,,,,,,,,
Ela tem plano,,,,,,,,
Se não me falha a memória,,,,,,,,
Posso fazer nebulização ?,,,,,,,,
Né verdade ????,,,,,,,,
Que eu lembre,,,,,,,,
Renite e sinusite,,,,,,,,
Bebo muita água,,,,,,,,
Na minha casa tenho 3 crianças,,,,,,,,
É recomendável fazer o teste depois de quantoos dias?,,,,,,,,
ESSA TOSSE COM CATARRO,,,,,,,,
"e fiquei tomando o anticoncepcional pra controlar estava namorando, mas ñ estou e qdo eu comecei a sentir um mal estar parei de tomar",,,,,,,,
Tusso às vezes e sem secreção,,,,,,,,
Tá com 6 anos que eu fiz a cirurgia,,,,,,,,
Vou ver com minha chefe,,,,,,,,
Uns 4min da minha casa..,,,,,,,,
Mas pode serpor causa da febre tanbem,,,,,,,,
Acho que isso contribui pra algumas coisa que eu sinto hoje,,,,,,,,
"A minha é de 37,4 não passou disso e só senti uma vez",,,,,,,,
Mas estou sob efeito de paracetamol a cada 6hs,,,,,,,,
"Na coluna ,nas costelas,até a pele do corpo sinto muito dolorida",,,,,,,,
Precisa puxar mais um pouco de ar.,,,,,,,,
"Um pouco preocupado por conta dos meus pais que estão dentro da zona de risco, mas dentro do que possível estou isolado.",,,,,,,,
Porem n fiz exames,,,,,,,,
Alerg9as alimentares,,,,,,,,
Espero que nao seja preciso. Boa Noite,,,,,,,,
Eu acho que falta oxigênio na minha cabeça,,,,,,,,
"Tenho que usar outro celular, como faço?",,,,,,,,
Mas não no nível que estou nesse momento,,,,,,,,
"Depois disso ela passou a falar coisas sem sentido por exemplo, que tinha ligado para o mercantil proximo pedindo um garrafao d'agua, sendo que nao pediu",,,,,,,,
Sou filho dela e trabalho em hospital.,,,,,,,,
Muito ansiosa não consigo dormir a noite.  Sinto muito angústia tem dias. Sempre fui muito preocupada.,,,,,,,,
tenho outra pergunta,,,,,,,,
Mas ainda fraco,,,,,,,,
"Me sinto cheio, como se fosse gases",,,,,,,,
Sai pra alguns lugares no interior estou com medo de estar com covdi19,,,,,,,,
Hoje pq me senti mal e levei uma queda,,,,,,,,
Dia 30/04 eu já sentia febre e dor no corpo,,,,,,,,
Tenho 40 anos,,,,,,,,
Mas dentro de casa tenho q cuidar dele,,,,,,,,
"Tem possibilidade de ser algum processo alérgico? Os sintomas do covid nos tivemos,eu apresentei até primeiro que ela, mas antes disso ela já estava com tosse persistente",,,,,,,,
Na Quarta,,,,,,,,
"Quase todo dia, mas não é toda hora",,,,,,,,
Eu já tive há anos atrás 3 anos consecutivos de pneumonia,,,,,,,,
Caso ela tenha febre posso dar paracetamol? Os postos só atendem amanhã,,,,,,,,
"No dia 16 de abril senti os primeiros sintomas, fui na UPA, fiz exame de sangue e minha plaquetas deram no limite 150000. Fiquei em casa até o dia 26 e voltei para trabalhar no dia 27. Acredito que a dengue já estava curada.",,,,,,,,
Há realmente a possibilidade de que esses sintomas sejam relativos ao covid?,,,,,,,,
Ate pq pode nao ser,,,,,,,,
Só mal estar,,,,,,,,
Ela tem problemas de diabete e hipertensa,,,,,,,,
"E ja melhoro , pq eu tava achando que eu ia morrer",,,,,,,,
Não fui a nenhum médico,,,,,,,,
Pq tô assustado com a taxa de infecção em upas,,,,,,,,
DEUS tenha misericórdia de nós pq saúde pública não existe mais por isso se alastrou,,,,,,,,
Ele sente um cansaço as vezes e noto que puxa bem o ar quando ele pouco anda,,,,,,,,
Mais d 15,,,,,,,,
Como eu falei por dentro sim,,,,,,,,
Ele disse q a garganta não está tão inflamada mas sente incômodo,,,,,,,,
Todos os dias,,,,,,,,
Respirando normal,,,,,,,,
Não consigo respira pelo nariz só pela boca,,,,,,,,
Agora o q mais incomoda é sentir o gosto das coisas e nem o cheiro,,,,,,,,
Um pouco de cansaço,,,,,,,,
Já estou fazendo isolamento  Mas moro em apartamento pequeno Minha filha pequena so quer tá em cima de mim. Ta difícil me isolar aqui. Mas estou tentando Estou de máscara todo o tempo tbm,,,,,,,,
Pergunto se o meu quadro pode sair de leve para moderado...,,,,,,,,
Posso tomar AS,,,,,,,,
Vai demorar muito pra voltar a sentir cheiro,,,,,,,,
Só um pouco de momeza no corpo,,,,,,,,
Ela disse que não,,,,,,,,
Tá sem se alimentar,,,,,,,,
Quase o tempo todo. Ela passa alguns minutos depois vem e tenho que puxar muito o ar pra conseguir a inspiração completa,,,,,,,,
Tomei Dipirona e multigripe,,,,,,,,
Fora essa cobrança e exaustão por esse motivo,,,,,,,,
Entre 38º e 39º,,,,,,,,
Meu maior medo é com a saúde das minhas duas filhas,,,,,,,,
Quero estar deitado 24h00,,,,,,,,
"Queria, mas eu não sei como",,,,,,,,
E a mais nova,,,,,,,,
"Não, não cheguei a procurar atendimento médico",,,,,,,,
Conjunto esperança,,,,,,,,
Estão fazendo muito pouco,,,,,,,,
"estou indo ne, melhor se nao tivesse com essa perca de olfato e paladar",,,,,,,,
Pra conseguir agendar a consulta?,,,,,,,,
Posso passar álcool em gel no rosto?,,,,,,,,
Na entubação,,,,,,,,
"Tá, mas já venho fazendo isso",,,,,,,,
Existe algum protocolo desse atendimento?,,,,,,,,
"Cuido da minha mãe,  idosa tem problema de mal de parkson",,,,,,,,
Todos os posto de saúde estão atendendo?,,,,,,,,
Tá passando,,,,,,,,
Azitromicina 500,,,,,,,,
Nariz ecorrendo sem tose,,,,,,,,
"Preciso retornar ao médico, pois trabalho e preciso levar o atestado.",,,,,,,,
"Eu estou com dúvidas pq eu tenho uns problemas pra liberar gases por aroto e esse dias eu não tenho conseguido, já tomei água com gás, e faz uns 4 dias que não estava conseguindo ir ao banheiro, mas hoje consegui, mas ainda sinto a falta de ar e o cansaço",,,,,,,,
Só quem mim passa medicação é o clínico mesmo,,,,,,,,
Tenho problema renal,,,,,,,,
Mas a dois dias atras eu tirei e deu 38.2,,,,,,,,
Então devo ir no posto pegar o atestado e ficar em casa?,,,,,,,,
Mais de mês,,,,,,,,
Vai prejudicar o tratamento porque não estou tomando o tamiflu?,,,,,,,,
Só que nesse o uso aparece como pediátrico tbem e acima de 6 anos,,,,,,,,
Estou tossindo,,,,,,,,
Já conversei e não dou jeito,,,,,,,,
Pressão alta 15.9,,,,,,,,
Ando tentando me controlar,,,,,,,,
Esrou me sentindo melhor,,,,,,,,
"Sim, pra ele não desidratar.",,,,,,,,
"Sim, lantus (no jejum) 58 UI",,,,,,,,
Os postos também não está recebendo ninguém,,,,,,,,
hoje estou bem só com a garganta coçando,,,,,,,,
ele teve contato com uma moça próxima q teve confirmação de corona tambem,,,,,,,,
em repouso,,,,,,,,
O médico passou um remédio que não dá no posto,,,,,,,,
Hj está reclamando muito de dor no peito esquerdo na parte superior,,,,,,,,
Confirmado não,,,,,,,,
"Moderada, mas muito seca",,,,,,,,
Me responde,,,,,,,,
Veio intensificar a dor no corpo ontem e hoje...mas da dor da garganta estou melhor,,,,,,,,
Tomei as 10 hrs,,,,,,,,
só preciso de algumas orientações,,,,,,,,
não faço  uso de nenhum tipo de medicamento,,,,,,,,
Umas 2 vez apenas,,,,,,,,
"Acho que preferia que o covid19 me leva, porque, com 53 anos estou perdendo tudo, meu comércio e meu ganha pão, vivo do que produz, e a um ano atrás perdi o amor da minha vida, meu companheiro, depois de 35 anos juntos, e agora estou isolada com alguns sintomas dessa doença horrível, tenho dois filhos, que não precisam mais de mim pra viver,",,,,,,,,
Só posso tomar dipirona se caso tiver febre,,,,,,,,
Posos tomar bromazepan?,,,,,,,,
"Tive uma gripe a uns dias atrás que durou uns 3 dias, porém ainda estou sem sentir gosto e cheiro",,,,,,,,
So quando fico doente só quando fico engripado,,,,,,,,
Tô com vírus?,,,,,,,,
Eu já estava passando álcool em tudo antes,,,,,,,,
Fico pensando,,,,,,,,
Posto não tinha medico pra atender só enfermeiro,,,,,,,,
"não , as vezes sinto a respiração ofegar quando vou tomar banho",,,,,,,,
Qual tipo de xarope posso tomar pra aliviar a tosse,,,,,,,,
"Durante o dia estava 35, 36",,,,,,,,
Mas eu estava treinando quase todos os dias msm quando não estava tão disposta pra isso,,,,,,,,
a dierra,,,,,,,,
Ou falso positivo,,,,,,,,
Só que aqui não tinha termômetro pra medir,,,,,,,,
Quanto eu me levanto,,,,,,,,
E minha pressão normalmente é baixa,,,,,,,,
Entendo...!,,,,,,,,
Faço o que,,,,,,,,
"Sinto dificuldade em respirar, posso tomar aerosol?",,,,,,,,
Pijama e com meias,,,,,,,,
É bem próximo daqui,,,,,,,,
"Sim, estou cuidado dele..",,,,,,,,
Nao. Mas sinto a respiracao ofegantes,,,,,,,,
Eu ainda sinto um pouco de cansaço mas é muito pouco mesmo,,,,,,,,
ainda não,,,,,,,,
Mais estou melhor hoje sim,,,,,,,,
Mandaram tomar remédio voltar caso a febre voltasse,,,,,,,,
Há dois dias não consigo sentir cheiro e nem sabor dos alimentos? O que eu tenho?,,,,,,,,
"Sim, só que não é sem parar",,,,,,,,
O posto faz exame?,,,,,,,,
Quando fico nervosa,,,,,,,,
Sinto indisposição,,,,,,,,
Uma pontada no lado esquerdo do peito,,,,,,,,
Um pouco depois volta.,,,,,,,,
indisposição.,,,,,,,,
Eu espirrei no primeiro dia e tossi com catarro mais não é constante,,,,,,,,
Fiquei em isolamento   Sim já estou melhor dos sintomas,,,,,,,,
Nao paro de pensar mas nao melhora,,,,,,,,
Será q hj tem atendimento nos postos de saúde?,,,,,,,,
Eu choro constantemente,,,,,,,,
Amanhã de qualquer forma irei no caps,,,,,,,,
Sera q pode ser nervo,,,,,,,,
"Como tenho 70  anos, devo procurar atendimento em algum posto?",,,,,,,,
Casa,,,,,,,,
"Mas eu tenho sinusite, acho q é por isso",,,,,,,,
"É cheia, já estou tomando azitromicina há 3 dias",,,,,,,,
E mesmo assim o enfermeiro nos mandou embora,,,,,,,,
Tomo Dipirona,,,,,,,,
Mais do lado direito,,,,,,,,
Eu poderia praticar a meditação antes de sentir a falta de ar?,,,,,,,,
Perdi o olfato. Tô com muita dor de cabeça. Dor no corpo. Febre passou.,,,,,,,,
"Sim, irei hj a tarde",,,,,,,,
Sou obeso.,,,,,,,,
Para melhor a respiração tenho q tomar algum remédio.,,,,,,,,
Muita gente,,,,,,,,
Levanto e o mundo roda em torno de mim.,,,,,,,,
No momento  ñ,,,,,,,,
Quase n saímos mais de casa desde o início da Pandemia,,,,,,,,
"Pois é, isso que eu também tenho",,,,,,,,
Tipo multi grip,,,,,,,,
Estamos tds agora usando máscara,,,,,,,,
Tenho dois filhos,,,,,,,,
Tenho virus da herpes e tenho gastrite cronica,,,,,,,,
Tomei Tylenol ontem,,,,,,,,
Antes do dia 26 já estava assim,,,,,,,,
Só mais uma coisa. Hije faz 5 dias. É recomendável fazer esse teste hoje ou espero mais uns dias,,,,,,,,
Obrigado pela as orientações,,,,,,,,
Os dois,,,,,,,,
Por isso que eu estou falando com vcs,,,,,,,,
Estou sentindo muita nausea ai ja penso que é covid,,,,,,,,
Estou no quarto,,,,,,,,
"Tá, o olfato e paladar só perdi 5 dias depois do primeiro sintoma",,,,,,,,
e ele com 5,,,,,,,,
"Não sei se tive contato, fui em supermercado a dias atrás",,,,,,,,
Queria saber se tem como pelo menos a idosa fazer o teste do coronavírus,,,,,,,,
"Desculpa, acho que minha internet tá muito ruim",,,,,,,,
Entendi ..tenho Dipirona em casa....mas não utilizei ainda pois não senti nem dor nem febre,,,,,,,,
Apenas sinusite,,,,,,,,
Eu ja falei com vocês antes.  15/07/87,,,,,,,,
"Senti um pouco ontem a noite,  por isso tive dificuldades de dormir",,,,,,,,
"Não,apenas quando sentia dores na coluna.",,,,,,,,
"estão tendo febre toda tarde ,moleza no corpo",,,,,,,,
Quando a gente está meio tonto pode ser o que ?,,,,,,,,
Minha febre aumentou para 37.9,,,,,,,,
To com alcool gel sempre do meu lado,,,,,,,,
"Amém, to tentando demais",,,,,,,,
Se eu sentir dor de cabeça? Posso tomar dipirona?,,,,,,,,
"E com isso eu vou aprofundando, aprofundando.. vão vindo mais pensamentos,  sobre n coisas... Minha cabeça não para de pensar e eu tenho essas crises.",,,,,,,,
E ñ tô isolamento domiciliar ñ,,,,,,,,
De ter piora,,,,,,,,
Não. Ele não tá comendo bem,,,,,,,,
Ele disse que era,,,,,,,,
Tenho dorflex comprimidos. Posso tomar?,,,,,,,,
"Minha BB ,o de 4 e o de 6 estão com nariz escorrendo",,,,,,,,
Mas sempre temos contato uma com as outras,,,,,,,,
Pelo que descrevi vc qcha q pode ser o Covid,,,,,,,,
De como era minha vida antes e que uma hora isso vai passar e eu vou volta com a minha vida de antes,,,,,,,,
"Se a febre permanecer, sem a falta de ar ?",,,,,,,,
E agora começou muita dor no corpo e uma gripe,,,,,,,,
Quanto mg de dipirona?,,,,,,,,
Só Dipirona  tomei drami hoje,,,,,,,,
Eu faria o exame?,,,,,,,,
A maioria dos sintomas do virus,,,,,,,,
Mais tento me informar por aqui,,,,,,,,
E tô tomando chá mate pra aliviar meu colesterol,,,,,,,,
Não preciso ir na emergência?,,,,,,,,
"Muitíssimo agradecido, parabens pela disposição",,,,,,,,
"O medico psiquiatra que a acompanha, afirmou que a confusao poderia ser pelo uso da prednisona, o medicamento que estavamos dando para controlar os sintomas",,,,,,,,
E hoje se agravou mais,,,,,,,,
Oi Felipe :),,,,,,,,
Meche com nossa cabeça,,,,,,,,
Muito frio ate durante o dia,,,,,,,,
To muito  feliz de verdade pois foi Deus que colocou  vocês  ai pois eu tava com depressão  medo choro de tanto medo dessa doença  mais vocês me acalmaram  so muito grata por todo,,,,,,,,
Ficar ocilando sobe e desce,,,,,,,,
Esse cansaço é persistente ou ele pode passar?,,,,,,,,
Jogar,,,,,,,,
O medico passou remedio,,,,,,,,
"Estou somente um pouco de tosse , mas estou bem agora ...",,,,,,,,
Ernia,,,,,,,,
Temos convênio Unimed,,,,,,,,
Uma dor nao tao grande no pulmao/dorsal direito,,,,,,,,
Febre começou hj as 9 hrs. Agora está voltando . Tomei dipirona as 10,,,,,,,,
"Meu irmão me passou o número , uma forma de não se apavorar mais , já que as UPAs estão lotadas , os sintomas já tem alguns dias.",,,,,,,,
Meu marido desde ontem tbm adoeceu,,,,,,,,
Nem com ele e nem com a família dele,,,,,,,,
Tenho um amigo q recebeu a visita de equipe em sua residência,,,,,,,,
Passo gelol todo dia,,,,,,,,
O que já fiquei boa,,,,,,,,
Sum,,,,,,,,
Depois volta,,,,,,,,
Vc sabe dizer se é ordem de chegada?,,,,,,,,
Pra nao piorar fico puxando conversa com minha mae,,,,,,,,
Mas Não está atendendo,,,,,,,,
Por favor me desculpe mas estou com muito medo,,,,,,,,
Não. Pq o meu termômetro tá com defeito,,,,,,,,
Ela pegou em poeira hj de manhã,,,,,,,,
To me forçando a comer porque não sinto fome,,,,,,,,
"Não, a primeira vez",,,,,,,,
"Gripe normal.  Além da dor, agora só esse peso ao respirar, dor de cabeça, vontade de vomitar e diarréia.",,,,,,,,
Na nuca Nunca senti Sempre senti dentro do olho quando era enxaqueca,,,,,,,,
No caso estou com receio em ir no upa do jangurussu,,,,,,,,
Em relação aos outros sintomas.. Eu não ligo muito.. Tô bem.. Mas a dor que me preocupa.. É sinal de piora?,,,,,,,,
A família aqui toda está com suspeita de covid,,,,,,,,
Isso cai como uma bomba pra mim,,,,,,,,
Hj comecei a sentir novamente,,,,,,,,
Só sentindo frio,,,,,,,,
A dor é abaixo do peito e não há falta de ar,,,,,,,,
"Se precisarmos, temos que ir pra Upa?",,,,,,,,
Dei um coxilo e acordei sentindo meu corpo treno,,,,,,,,
Mas ela Me falou que logo volta ao normal,,,,,,,,
Só respiro pela boca,,,,,,,,
O médico não quis me dar,,,,,,,,
Ok! Mas onde poderia conseguir realizar o teste pra COViD,,,,,,,,
hoje eu to com mal estar e to meio puxando o ar,,,,,,,,
Idade 48,,,,,,,,
Morreu duas agentes de saúde,,,,,,,,
BOA TARDE,,,,,,,,
A temperatura??,,,,,,,,
Me ajudou bastante,,,,,,,,
E eu mesmo estou limpando eles,,,,,,,,
Tive febre dois dias,,,,,,,,
Procuro manter o máximo de cuidado,,,,,,,,
"Teve muita dor no corpo, febril e agora c tosse",,,,,,,,
Porém o médico já tinha saído e pediram pra ele retornar amanhã pela manhã,,,,,,,,
Cansaco fisico mesmo,,,,,,,,
Respiração quente,,,,,,,,
Pq já tomei remédio para melhorar .,,,,,,,,
Mais pelo pequeno período,,,,,,,,
"E faz uso constante de Artrolive, por conta de uma lesão no joelho",,,,,,,,
Tenho medo do exame,,,,,,,,
Estou tomando bastante vitamina c,,,,,,,,
Parado não,,,,,,,,
"Falta de ar,dor nas articulações tontura dor de cabeça falta de paladar e ofato",,,,,,,,
"Tbm tive diarréia em um dia, com chá de boldo melhorei.",,,,,,,,
Náuseas..mas por enquanto só um embrulho no estômago. Cheguei a tomar dramim e vonal,,,,,,,,
"Senti qdo tive a crise de tosse, pq tossi muito e cansei",,,,,,,,
Nao...comecei a sentir quando o médico mim.falou q poderia estar contaminado,,,,,,,,
Pois é ela não ouce nimguem,,,,,,,,
Como um atendente já tinha falado aí eles só fazem exames em pasciente graves então se eu for não vai adiantar nada então melhor ficar em casa,,,,,,,,
Ansiedade apenas.  Tomo alprazolan,,,,,,,,
"Não fui ao médico, Pensei ser um resfriado",,,,,,,,
Eu paro e volto para cama,,,,,,,,
Mas vou fazer assim,,,,,,,,
Um pouco 36.meio,,,,,,,,
Tô meio que apavorada,,,,,,,,
Hoje pela manhã me controle mais e está melhorando,,,,,,,,
Nessse momento,,,,,,,,
Está 38.2,,,,,,,,
O meu pai esta doente,,,,,,,,
Sim  ansiedade e que eu quero fica bom dessa coisa que tá aparecendo,,,,,,,,
"Muita tosse (seca) muita dor no corpo. Confusão mental durante a noite, soando muito durante a noite.  Ainda não foi ao médico. Começou já está. Com 3 dias",,,,,,,,
A moça mim falou ontem,,,,,,,,
E Estou isolado de todos,,,,,,,,
O difícil é ser atendida lá,,,,,,,,
Tenho plano de saude,,,,,,,,
E se a tosse persistir no período de 14 dias?? Pode tomar algum xarope? Ou é melhor procurar o posto de saúde mais próximo?,,,,,,,,
Mais de 6,,,,,,,,
Devido estar com a suspeita do vírus,,,,,,,,
Consigo sin,,,,,,,,
Obrigado pela atenção Valeska. Que Deus abençoe vc e a todos os profissionais da saúde.,,,,,,,,
Fiz gargarejo com agua morna e vinage e sal melhorou bastante,,,,,,,,
Sintomas de covid,,,,,,,,
estamos bem preocupados,,,,,,,,
Sobre o medo que estou!,,,,,,,,
Minha esposa,,,,,,,,
A senhora pode me informar por favor,,,,,,,,
"Não, notei que ela estava quente e dei Dipirona a ela",,,,,,,,
Uma sensação estranha no corpo,,,,,,,,
"Não, Deus abençoe vocês.",,,,,,,,
Sentindo também uma pressão no peito,,,,,,,,
Minha vó desmanhou ela tem problema de coração diabete pressão tá cega de um olho,,,,,,,,
Onriagda pela atenção,,,,,,,,
E nem ofegante,,,,,,,,
"Idade: 66; Problemas de Saúde: Comprometimento Respiratório, Síndrome de Sjogren, Hipotireoidismo; Contato: não; Medicamento: vários Azatioprina, HIDROXICLOROQUINA, Prednisona, Omeprazol, Euthyrox; Febre: 2 dias; Falta de ar: cansaço. Já sentiu antes; Sintomas nós últimos 14 dias: tosse, espirro, febre.",,,,,,,,
Eu comecei a me sentir febril,,,,,,,,
Ontem Ela soltou uns pus muito podre,,,,,,,,
"Eu tenho duvida em relação a esses sintomas, se tem os dias que eles aumentam ou continua assim mesmo?",,,,,,,,
Por que não tenho termômetro em casa,,,,,,,,
"Tem de uns 7 a 10 dias, por ai",,,,,,,,
"Desde sexta-feira sinto sintomas de gripe, resfriado",,,,,,,,
Vou ao posto de saúde logo tbm,,,,,,,,
"O que piora é meu pai me pressionando, falando coisas que me deixam pra baixo",,,,,,,,
Só dois,,,,,,,,
Posso está com o Vírus?,,,,,,,,
Desde quando começou a pandemia eu já fui ficando meio que assustado meio que neurótico com os cuidados,,,,,,,,
Tava tipo uns 115bpm,,,,,,,,
Não estou conseguindo se alimentar direito,,,,,,,,
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.",,,,,,,,
Não sei se é uma virose que eu possa tratar em casa ou se devo ir ao médico devido eu também ter lúpus,,,,,,,,
