txt,intent
Paracetamol e soro fisiológico no nariz,inform_medicine
Esse mesmo que estou tomando,inform_medicine
Faz tratamento no posto de saúde pressão alta e colesterol,inform_symptoms
É,others
Só no período menstrual,others
Tá certo muito obrigada,greeting
"Somente dor de cabeça que não passa com remédio, indisposição e corisa",inform_symptoms
Hoje eu estou com uma dor atrás do peito e uma pequena falta de ar,inform_symptoms
Estou me sentindo apenas com leve cansaço em alguns momentos,inform_symptoms
"Minha dúvida era do medicamento, Porque é uma irritação que não passa, avermelhada.",inform_symptoms
Que Deus te abençoe nesta luta,greeting
"Esse e novo, mas vou ver se consigo em outro",others
Boa Tarde Luciana!,greeting
"Doença crônica não , mais sou fumante",inform_symptoms
"Dor no corpo, garganta inflamada e não consigo sentir cheiro ou gosto de absolutamente nada :(",inform_symptoms
Boa noite Dr.,greeting
E eu senti isso a pouco tempo,inform_symptoms
Será q n vão falar a mesma coisa que a Senhora,request_inform
Nem ele,others
Tosse um pouco e para,inform_symptoms
Ok doutor,greeting
Eu sei..,others
Eu creio muito senhor Jesus Cristo,others
Sempre tive enxaqueca e minha dor de cabeça sempre foi no olho Jamais na cabeça  E achei estranho,inform_symptoms
Acontece uma dificuldade,others
Guardo as angústias muito só p mim,others
Mais a UPA não estão atendendo,others
Obrigada pela atenção,greeting
João Lucas Sousa Gomes  13/10/2018 85 987014857,others
Regis Juca. Mondubim,others
Ela não sente fome tbm.,inform_symptoms
Muita secreção ela tomou azitromicina durante 5 dias passado pela médica do UPA,inform_medicine
"Pensei em levá‐lo ao médico, uma clinica particular como a multiclinic",others
"Minha mãe é hipertensa, e tá isolada no quarto.. Pq meu pai está com vários sintomas..",inform_symptoms
Estava baixando agora parece aumentar de novo,others
Os sintomas desaparecem em quanto tempo?,request_inform
E faz uns 8 dias que sinto uma dor de cabeça muito forte na nuca,inform_symptoms
Desde os meus 14 anos de idade!,others
E isso tá atrapalhando bastante o meu dia,others
Olá Dr.,greeting
e cansa aos mínimos esforços,inform_symptoms
pelo o fato de eu ser hipertensa,inform_symptoms
uma boa tarde,greeting
Mas eu reluto pelas lotações,others
Oi vc ainda esta ai,request_inform
"E a dor na garganta, é uma dor mto intensa q causa dor nos meus ouvidos tbm",inform_symptoms
"Começou hoje, quando estava deitada.",others
Pois o aparelho chegou agora,others
Eu comecei com a garganta coçando,inform_symptoms
Não sinto dor de cabeça,inform_symptoms
Estou em casa sim,others
É isso,others
E leve perda de equilíbrio,others
Vou procurar melhorar e me cuidar mais,others
"Por enquanto só, vou ficar em repousa p se Deus quiser não precisar ir p o posto de saúde",others
Na sexta sentia falta de ar durante todo o dia.,inform_symptoms
Desânimo.  As vezes ardência  ao urinar,inform_symptoms
tô çom um pouco de diarréia e a garganta querendo tossir de vez em quando,inform_symptoms
"Aí eu poderei chegar perto , é isso ?",request_inform
Boa noite. O que faço?,request_inform
Dor de cabeça e muita dor no corpo,inform_symptoms
Não entupido,inform_symptoms
"Com os sintomas q estou tendo, na emergência será feito o teste de covid?",request_inform
Tive gripe,inform_symptoms
Ontem tive febre direto. Tomo remedio passa e depois do efeito do remédio ela volta.,inform_symptoms
Meu caso é  transmissível  ?,request_inform
Hoje à tarde,others
Já passou,others
"Tem tosse seca, não sente cheiro e nem sabor",inform_symptoms
Mais se não passa essa dor eu vou fica em casa,others
Sentir pouco,others
"Sim. Multi gripe, depois tomei dipirona, porém ambos não fizeram efeitos e por último tomei dicoflenaco de potássio, por que a dor no corpo tá intensa. Porém não serviu também",inform_medicine
Tive outra noite de febre,inform_symptoms
Algumas vezes deu 38⁰,others
Estou tomando Redoxon e Benegripe de 8 em 8 horas.,inform_medicine
Aos meus 13 anos de idade tive início de asma,inform_symptoms
"Me sinto disposta, não tive febre esses dias, e nem indisposição.",inform_symptoms
Vou voltar q ligar pra lá.. vou tentar ir por os horários na minha rotina,others
Mas o tempo passou e fique aparentemente melhor,others
N.so incômoda mesmo.,others
Diarreia é dor de cabeça,inform_symptoms
Desca,others
O posto daqui não é referência para Covid-19,others
E umas pontadas entre o peito e as costas,inform_symptoms
"Nariz escorrendo e congestionado, espirros",inform_symptoms
E uma moleza no corpo...ontem a noite senti um pouco de dificuldade pra respirar,inform_symptoms
Diarréia,inform_symptoms
E o meu esposo Q ta sentindo dores no corpo todo quebrado  faz uns 3 dias febre o nais q deu foi 37.3,inform_symptoms
Imune,others
Se eu não melhorasse ligasse novamente,others
Nem mandar mensagem?,request_inform
Posso continuar,others
Crise mesmo acho que faz um mês e meio. Quase sempre tenho quando tenho crise de rinite. Aí junta tudo e piora. Poi isso estou com medo :),inform_symptoms
e não tenho contado com outras pessoas,others
"Tbm tem algum secreçao, ms tvz seja pq é ex fumante",inform_symptoms
"Não é uma dor que dificulte minha respiração ou que me impeça de andar ou de fazer algo, mas é incomoda",inform_symptoms
Mais tem uns 6 dias que venho sentindo muita dor de cabeça dor na garganta e um mal estar intenso,inform_symptoms
"Estou com 7 dias hj ainda posso transmitir, pois moro com meus avós",others
faz 4 dias,others
Mas manterei a orientaçao com certeza,others
"A tosse já passou, só estou com o mal o estar (com o corpo todo mole)",inform_symptoms
Meu irmao morreu a 15 dias,others
Eu estou tossendo muito também,inform_symptoms
"Eu tô revoltada, tomei aerosol hoje porque estava muito cansada porque sou asmática e fui pra upa cedo porque estou há 5 dias muito mal e fui mandada pra casa por não estar com falta de ar",inform_medicine
Quando subo a escada da minha casa sinto muito cansaço,inform_symptoms
e não consigo controlar minhas emoções,others
No momento ele diz que está sentindo mal está e calafrios,inform_symptoms
Boa noite!  Estou com alguns sintomas e estou preocupada,greeting
Já pensei,others
Mas o que eu tomo? Não é preciso nenhum antibiótico,request_inform
"Dor no corpo, mas febre não",inform_symptoms
A 3 dias atrás sentir muita dor de cabeça,inform_symptoms
o médico falou que com 7 dias tínhamos que fazer o teste,others
Pior que tô dormindo na mesma cama que ele,others
Com sacrifício,others
"Dor no corpo, cabeça, falta de apetite , dor no estômago, olhos e dor de garganta",inform_symptoms
Vc poderia ver meus dedos?,request_inform
Pode piorar,others
o que devo fazer em casa? ha algum medicamento a tomar?,request_inform
"Mas minha mãe saiu pq ela trabalha em casa de família, e na casa q ela trabalhava foi confirmado pessoas com corona",others
Mal*,others
Vou sim,others
Agr nao,others
tenho um filho  de 2 anos ele teve febre só 1 dia mas já tá bom ele pode ta,inform_symptoms
Ela vem junto com a taquicardia,inform_symptoms
Estou trabalhando on line,others
Água com limão é bom?,request_inform
Quantos dias tenho que ficar de observação.,request_inform
Não t com 2 dias,others
Ontem tava 37.8,others
"Apresentei uma melhora na pontada no peito e falta de fôlego, meu cansaço diminuiu, sinto apenos o nariz fervendo e uma leve dor no peito",inform_symptoms
Fica tudo entupido,inform_symptoms
Estou tendo febre a 3 dias hj,inform_symptoms
Creio que começou segunda feira passada com uma falta de ar pela tarde,inform_symptoms
Se vc puder ouvir eu gravo a tosse pra vc,inform_symptoms
"Bem melhor do que ontem. Porém continuo com dor de cabeça, e um cansaço no corpo",inform_symptoms
É não ta melhorando,others
Cheguei cedo pra nao pegar lotacao,others
Tá certo entendi,others
Mas acho q nao,others
Uma pontada fina,others
To me sentindo  bem melhor so meu palada e cheiro nao bolto,inform_symptoms
Alem de não sentir gosto nem cheiro,inform_symptoms
"Correto,, tem a tosse e a dor de cabeca,",inform_symptoms
Há cinco com pressão baixa e em crise agora,inform_symptoms
E também estou tomando vitamina C e tomando um remédio chamado cimegrip,inform_medicine
"Eu não voltei a sentir esses dois sitomas depois disso, só ontem que eu voltei a registrar 37.8 mais acho que foi pela noticia que eu recebi",inform_symptoms
Tosse direto,inform_symptoms
Ficou sim,others
Por que não aguento mais ver ela do jeito que tá.,others
Não fui ao médico.,others
Sou alergica,inform_symptoms
Corpo quente,inform_symptoms
eu tô com um pouco de falta de ar,inform_symptoms
Mais ela é muito neurótica disse que não vai para a vida pra mim ela é acitomatica,inform_symptoms
"Eu acho que é alérgica, mas não sei se devo ir ao hospital pelo risco de contrair a doença",inform_symptoms
"Não, tem sinusite e renite altamente alérgico",inform_symptoms
Dor do corpo,inform_symptoms
Só quando eu puxo com força aí dói um pouco,inform_symptoms
Passou a noite inteira gemendo,inform_symptoms
So tenho agradecer por que eu ja ia no upa,greeting
Vou providenciar a medicação,others
De fazer minhas coisas,others
Por favor me desculpe mas estou com muito medo,others
E tinha convulsão.,inform_symptoms
O meu maior receio no momento é a dor de cabeça constante,inform_symptoms
Preciso acabar com essa sensação de desmaio,inform_symptoms
Porque quando tenho crise de rinite tomo para ajudar na crise,inform_symptoms
"No momento não, obrigado mesmo",greeting
Espirra,inform_symptoms
A minha sogra já está com uma tosse cheia. Uma vez ou outra ela tosse. Vem tomando xarope. Já foi escultada pela fisioterapeuta dela e não tem nenhuma secreção. Foi colocado o oximetro e deu 98. Minha esposa tá pensando em levá-la ao hospital. O que fazemos?,request_inform
Com quantos dias o vírus é transmissível?,request_inform
"Tudo bem,pode deixar:), Obrigado",greeting
"Eu estou com dúvidas pq eu tenho uns problemas pra liberar gases por aroto e esse dias eu não tenho conseguido, já tomei água com gás, e faz uns 4 dias que não estava conseguindo ir ao banheiro, mas hoje consegui, mas ainda sinto a falta de ar e o cansaço",inform_symptoms
"Em casa, sem sair, tendo todos os cuidados, estudando , cuidando do marido",others
Perdi o paladar e o olfato,inform_symptoms
Certo! Quando estou sentado ou deitado sinto pressão  no peito.,inform_symptoms
Posso lhe enviar esse laudo,others
Pronto pro nariz só soro isso?,request_inform
Na sexta teve 38.3 Sábado e domingo não teve febre,inform_symptoms
Mas medimos,others
Foi arranja mais gente prá doar se Deus quiser,others
Não.  Obrigada,greeting
Só q sentir um incômodo na garganta e fui olha no espelho e vir q ta avermelhada,inform_symptoms
"No final da tarde eu me sinto com a sensação de nariz entupido, como se tivessem tampando minha respiração",inform_symptoms
pra uma falta de ar causada por o coronavirus,inform_symptoms
não mais me sinto muito frio mal star não aguentou engolir nada,inform_symptoms
Mas n tô sentindo mais,inform_symptoms
tomamos azitromicina por 5 dias,inform_medicine
Como dor de cabeça,inform_symptoms
Ta muito obrigada,greeting
Não mas si caso eu almentar os sintomas posso procurar novamente?,request_inform
Será sintomas do covid?,request_inform
E também sinto uma queimação no nariz,inform_symptoms
Um ótimo dia pra você também.,greeting
so tomo anticoncepcional,inform_medicine
Já parou essa medicação.,others
"Tem diabetes, pressão alta, arritmia",inform_symptoms
Por que não é sempre,others
Muito obrigado!!,greeting
Mas como estou tomando paracetamol de 6 em 6 horas hj não tive febre,inform_medicine
E a tosse? A febre?,request_inform
Fico logo com medo,others
Quais cuidados eu devo tomar,request_inform
eu fui 3 vezes tomei soro  agora de vez e quando só vem a dor,inform_medicine
O médico me disse que a parte cardiológica está ok,others
Por mais que as pessoas não levem a sério a questão do isolamento social,others
Eu durmo bem gracas a Deus,others
Estou com muita dor no corpo falta de gosto e cheiro,inform_symptoms
Ele pode tomar alguma outra medicação,request_inform
Oi Miria,greeting
Vou fazer amanhã de manhã,others
Eu durante o dia passo bem mais quando vai chegando a noite vai mim dando angústia uma vontade muito grande de chora bate um desespero começo pensa nessa doença e vem os medo por que acho que isso nunca vai acaba e que é o fim do mundo,others
Hoje a noite,others
Com ou sem acucar,others
Gosto de música calma.,others
Sim eu fico de máscara direto e ela também,others
Hoje eu já fiz almoço e algumas coisas,others
4 dias atrás,others
Desde ontem a tarde,others
Tem alguma coisa que posso fazer para melhorar essa dor nos olhos e fraqueza?,request_inform
Banhei,others
Vou ter que fazer quarentena de 14 dias mesmo que os sintomas não apareça nos próximos dias?,request_inform
Tou apavorado,others
O medo de está com o Corona vírus,others
E a falra de palada,inform_symptoms
olá Boa noite,greeting
A dor é  como se fosse na regiao do torax,inform_symptoms
Não obrigada..  dla regional V o posto de referência é o do Conjunto Ceará?,request_inform
Acredito que seja porque tenho renite alérgica e durmo com ventilador,inform_symptoms
Gratidão.,greeting
Rua Mario Mendes 725,others
É sobre o acompanhamento q vcs vem fazendo cmg,others
mas ela vai e volta,others
qndo fico em pé o nariz consegue puxar o ar,inform_symptoms
"Na medida do possível sim, estou usando máscara todos em casa tbm...",others
Dormi bastante,others
estou inclusive sem apresentar sinais de gripe,inform_symptoms
nao pesado,others
Tentando fazer o teste nas farmácias,others
Mas você acha melhor a gente ir ?,request_inform
Melhorei sim ..apesar que estou tomando o.antibiotico desde ontem,inform_medicine
"Agora a tarde me senti febril, continuo cansado, com dor no corpo e sem olfato e paladar",inform_symptoms
Estou tossindo e acho que de dois dias pra cá está aumentando a tosse,inform_symptoms
Vc pode me ajudar?,request_inform
E a respiração está ótima,inform_symptoms
"Não, obg",greeting
"Mas, não descartamos as chances de ser coronavírus?",request_inform
Acho q meu peito estar cheio de secreção,inform_symptoms
me sinto cansada e fico com um pouco de falta de ar,inform_symptoms
Voltei a trabalhar desde terça,others
Mais depois q começou essa pandemia ta começando tudo de novo,others
Meu marido está com os mesmos sintomas,inform_symptoms
Não tive nenhum desses sintomas citados!,inform_symptoms
Respiro com palpitação,inform_symptoms
"Tá bom,doutora muito obrigado pela ajuda",greeting
Estou somente com mal estar,inform_symptoms
Minha respiração como se estivesse com alguma inflamação,inform_symptoms
Incomodado*,others
Certo obrigada por tudo,greeting
Se é cinco,others
Corro bem,others
pode chegar  qualque hora,others
Moro com a minhas filhas e netas,others
Sou diabética,inform_symptoms
Eu estou muito fraca,inform_symptoms
Já fui em uma quando eu chego lá mandam eu voltar,others
Não apresenta tosse e nem cansaço,inform_symptoms
meu amor como lavi o nariz com o soro?,request_inform
Estou seguindo  A maior dificuldade aqui é o isolamento da casa. Pois eu que faço o almoço,others
"Meu medo é que nessa piora eu tenha que ser entubada. Pois estou e tenho todos os sintomas agravantes (diabetes, pressão alta, problema cardíaco) e já tive pneumonia começo do ano.",inform_symptoms
Já fiz redução de estômago e engordei tudo por ansiedade,inform_symptoms
muita dor de cabeça,inform_symptoms
Obrigada Dr espero que tudo isso passe porque minha bebe já tá sentindo minha falta,greeting
Vou te passar um textinho com toda a situacao,others
Mas moro numa casa e ela em outra,others
Pode ser considerada febre?,request_inform
"Disposta, não tenho febre, dor de cabeça, só o nariz entupido e coçando.",inform_symptoms
É minha mae,others
acho que aqui não tem termômetro,others
Mas estava sentindo muito calafrio,inform_symptoms
"Eu ja tenho insuficiência cardíaca , tenho um atestado dado pelo cardiologista",inform_symptoms
É pouca a melhora com a bombinha,inform_medicine
Pois se,others
"Oi, Caroline! Tudo bem? Então, no dia 29/04 tudo começou, tive febre desde às 8h da manhã com 38.1 e ela não baixou mesmo após eu tendo tomado um tylenol. Às 16h31 desse mesmo dia eu estava com 38.4 de febre. Foi o dia todo!  Na parte da noite desse mesmo dia eu tive algumas pontadas na barriga, mas que passaram. Desde o dia 29, estou com o corpo dolorido, garganta um pouco inflamada e desde sexta (01/05) eu to sem o paladar ou olfato.   Hoje já é o 6º dia que eu to com esses sintomas. Você poderia me ajudar? Tenho medo da automedicação e não sei o que fazer pra voltar a sentir o cheiro ou gosto das coisas e parar com",request_inform
"Não tanto,mais quando me levando ou faço algum esforço físico,tipo até lavar prato",others
Vou saber,others
"Obrigada, Joana..   Eu já estava suspeitsndoque estava com covid-19, devido o pai já tá e uma dor de cabeça..  Mas não senti nada..",inform_symptoms
Um farmacêutico,others
Devo ir no upa?,request_inform
"Não, obrigada.",greeting
Não  So refluxo laringite  Fendas cordas  vocais rinite  alerguca,inform_symptoms
"Nariz entupido, tosse leve mas um pouco cheia, e hoje ela apresentou diarréia",inform_symptoms
No momento vou fazer caminhada. Volto mais tarde tá.,others
Não fico só um pouco cansada,inform_symptoms
"Senti falta de ar, tosse, febre",inform_symptoms
a febre graças a Deus não passa disso,inform_symptoms
"Estive exposta na emergencia do hgf com meu sogro . Quinta,sabado, segunda terça",others
Tem uns 4 a 5 dias,others
Rua santa lucia  Casa 258 Bairro parque genibaú,others
Vontade de vomitar,inform_symptoms
obg,greeting
A gente vai no hapvida,others
"Depois de um dia sem febre, ontem tive as 21h 37",inform_symptoms
Não é rua São Paulo,others
Meu nome não é Mara,others
Estou bem! Fui no posto como vcs mi recomendaram já estou tomando os medicamentos passado por eles,inform_medicine
"antigamente eu já tive crise ansiedade, mas foi passageira",inform_symptoms
Nada tem funcionado nada,others
O propolis é xarope?,request_inform
Isolado de todos,others
"Tô com muita dor lombar , toda dolorida",inform_symptoms
Dor de garganta só um pouco,inform_symptoms
Hj fui na UPA pra realizar o teste mais a médica que mim examinou falou que eu estava com uma virose,inform_symptoms
"Quando tá deitado, sentada, em pé. Não é falta de ar propriamente, é cansaço.",inform_symptoms
Mas fiquei boa deu mais nada além da trombose,inform_symptoms
"Tive tosse , porém menos enjoo",inform_symptoms
Ontem eu não estava assim,others
sim sim. passou,others
"Olá Dalva, hj estou com nove dias com sintomas de gripe forte",inform_symptoms
"Alivia na hora, junto com o Vick que eu passo",inform_medicine
Preciso de alguma coisa para dormir,request_inform
"Ardência e uma dor como se fosse muscular, porém quando aperto não dói",inform_symptoms
Doutora nao tenho febre aparentemente,inform_symptoms
2° consegui dormir bem,inform_symptoms
A sensação de vômitos vem e some,inform_symptoms
"Gleice Kelly De Souza Moraes, CPF 05387662396, 14/04/1992, (85)986647902, Fortaleza Ceará",others
Vocês indicam remédios ?,request_inform
"O médico passou , remédios e deu atestados",others
Ontem so fui no bamheiro uma vez,others
É uma pessoa ou atendimento automático?,request_inform
Dor na garganta e febre,inform_symptoms
Por hj tá otimo,others
Há dois dias atrás,others
"Mas estou indo passar o final.de semana na casa do meu filho, o isolamento social está me deixando muito ansioso",inform_symptoms
E queda de pressão,inform_symptoms
Meu nariz entupido já tá com mais d 15 dias,inform_symptoms
As vezes seguro em alguma coisa.pq tô tonta mas passa,inform_symptoms
Remédio p gripe,inform_medicine
E nas costas,others
ço,others
Garganta??,request_inform
mas essa falta de ar que estou sentido é muito perigoso ?,request_inform
"Tenho espiro, tosse",inform_symptoms
"tá certo, então",others
Caso eu precise posso entrar em contato novamente,request_inform
Teve vômito depois de disso,inform_symptoms
Ta certo então obrigado,greeting
Pois pode me passar,others
E tosse persistente,inform_symptoms
Alérgica,inform_symptoms
E agora estou a três dias com febre,inform_symptoms
Nao nao,others
Pra não colocar mão na boca,others
Só retorno pra Fortaleza a noite,others
Minha mãe está meio mole tbm.  Ela apresentou,inform_symptoms
E mesmo assim o enfermeiro nos mandou embora,others
"Não, eu estou bem",others
Porque relatei que sou ansioso,inform_symptoms
Preciso tirar uma dúvida sobre o medicamento oscillococcinum,request_inform
Mais pelo pequeno período,others
"Joelho, dedos e lombar",others
Ela disse que só internaria se eu estivesse com muita falta de ar,others
Estou com  Dores de cabeça em determinado horário as 19 meados 21 horas  E febre   Logo após baixa a febre e a dor de cabeça,inform_symptoms
Ele é homem,others
Só 1 dia,others
"Eu só não tive febre e falta de ar, mas tô muito cansada",inform_symptoms
Começamos hj,others
Isso ele viu no relógio dele,others
Disposição,others
Nada de médico?,request_inform
Desculpa tá,greeting
Só q agora voltou,others
"Moro no Planalto Pico, próximo a Embrapa",others
O que me aconselha que eu faça,request_inform
Mas ou tavam fechada ou estava suspenso os teste,others
Canseira muito forte,inform_symptoms
Minha mãe tem tossido,inform_symptoms
Fui ao posto e nao tenho nada,others
Vou fazer isso O olfato ainda não voltou,inform_symptoms
Nao percebi ainda,others
Agora foi só esse mal estar e falta de paladar e olfato,inform_symptoms
É que senti tantas coisas quando estive doente que já fico com medo,others
Kd vc,request_inform
Todos os días pela manhã,others
Por hora não,others
Esposo tem,others
Tá ok. Ontem a noite e hoje pela manhã ela já se alimentou. Passou uns 3 dias sem comer ou beber nada.,others
Mas febre sempre foi comum pra mim quando pego virose,inform_symptoms
"Hoje não há mais febre , somente dor de garganta.  Dor de cabeça , e mau estar.",inform_symptoms
Dipirona de uma grama,inform_medicine
6 em 6,others
Ñ obg,greeting
"Desde sábado venho sentindo alguns sintomas como febre, dor no corpo, dor de cabeça",inform_symptoms
minha filha de 6 anos ñ entende e fica direto em cima de mim,others
Foi o que pessoa orientou,others
Pois trasnfira,others
Voce recomenda algum remedio que possa melhorar a recuperaçao?,request_inform
E posso voltar a tomar o antibiótico,request_inform
É pra ser até porq sou funcionário da saude,others
E sem senti cheiro  no dia 28,inform_symptoms
Umas 16:00 horas,others
Ainda estou tossindo um pouco e sinto um pouco de dor nas pernas,inform_symptoms
Prednisona a 2 dias regularmente tomo amitril clonazepan lítio venlafaxina miosan busonid e Dipirona proponalol,inform_medicine
"Dor de cabeça,febre,dor no corpo,gripada",inform_symptoms
Mas devido a essa pandemia decidi mandar mensagem para me tranquilizar,others
Tenho medo por eles,others
"Média de temperatura 34,6 a 35,5",others
Eu axo q seja isso,others
Trabalhei,others
E de ontem pra hoje voltaram,others
Lá só vive cheio de gente,others
"GRAVIDADE MAIOR E A FEBRE, FALTA DE AR E PROSTACAO NAO E ISSO",inform_symptoms
Não passou de 37.8,others
Não foi tão leve ! E rápida,others
Mas preciso ir,others
Diante dos relatos posso está com o covid 19???,request_inform
Vou tentar impor horários a mim  mesmo durante uns dias pra ver se consigo,others
Ele precisa ser internado,others
Mas vou ver o quê posso fazer,others
"Fui a um posto de saúde e o médico disse que eu n estava no quadro clínico pra COViD, mas me passou tamiflur",others
"Nariz entupido, falta de ar.",inform_symptoms
Passou a medicação,others
Entnedido,others
Deu 39,others
Mais nao fico como se estivesde cansada,inform_symptoms
Não consigo sentir o ar chegar ao meu pulmão,inform_symptoms
Muito mesmo!,others
No raio x o médico disse q tinha um pouco de secreção .,inform_symptoms
Bom dia Fabiana,greeting
"Não estou me alimentando bem, mas tomo banho",others
O que posso fazer pra evitar a ida até hospital.,request_inform
E manchas no corpo,others
Enquanto  isso o q faco com a falta de ar,request_inform
Então pode ser uma gripe ?,request_inform
E posso morrer q acho que não e nada,others
Eu fico preocupada de acabar expondo a ao contato com outras pessoas pois as UPAS estão superlotadas,others
Estou tão preocupada,others
"Mal estar, desânimo",inform_symptoms
Está,others
"Cansaço,tosse e febre",inform_symptoms
Leve problema de pressão,inform_symptoms
Hoje estou com um pouco de dor de cabeça,inform_symptoms
Cefalexina,inform_medicine
"Eu to desde domingo cm alguns sintomas Uma queimação na caixa torácica e na garganta Uma moleza enorme calafrios, a noite fica pior... Uma sensação de nariz entupido sem tá...",inform_symptoms
Fiquei febril,inform_symptoms
Estou tossindo e sem paladar e sem olfato,inform_symptoms
Estou usando máscara dentro de casa,inform_symptoms
Msm sentindo calafrios,inform_symptoms
"O meu medo mesmo Dr é porque escuto muita gente dizer que não pode tal remédio, que só pode paracetamol",inform_medicine
"Foi quando ela estava parada, ela diz que é como se fosse um aperto no peito. Aí precisa respirar um pouco mais fundo para poder retomar",inform_symptoms
O teste é feito lá?,request_inform
"Se piorar, entrarei em contato novamente",others
"Não, ontem medi minha temperatura estava 35,8",others
Estou muito cansada,inform_symptoms
Acordei com febre nesse dia,inform_symptoms
A tarde que bate mais ainda a indisposição,inform_symptoms
Porfavo,request_inform
Esse vírus passa quando dias no organismo?????,request_inform
Exercícios físicos,others
Mesilato de doxazosina,inform_medicine
Ver Tô,others
Só uma hérnia de hiato,inform_symptoms
Mas o meu esposo hoje começou a ter febre alta,inform_symptoms
Nao é frequentemente,others
As vezes melhoro muito durante o.dia mas a.noite sempre sinto as masma coisa,others
Eu moro em Pedras...,others
Estou com 6 dias hoje,others
"Não sente, o resultado da pessoa que estamos cuidando saiu hoje. E estamos cuidando dessa pessoa faz 4 dias",others
Nem sabia que poderia fazer isso,others
Desconforto respiratorio,inform_symptoms
Eu to sentindo falta de ar. E dor de cabeça,inform_symptoms
Medo de estar assintomática e contaminar eles,others
Remédio pra pressão uso contínuo,inform_medicine
Estou sentindo umas dores no peito,inform_symptoms
Amei esse,others
"Dor no corpo,..gosto amargo na boca,olhos ardendo,pouca tosse com pouco pigarro",inform_symptoms
De quinta para sexta-feira eu dormi e acordei com febre,inform_symptoms
"Hj estou tossindo, cansaço e continuo sem paladar e olfato",inform_symptoms
Ainda com mal estar,inform_symptoms
Bom dia!! Já tem 3 dias que sinto algum dos sintomas. Como febre e mau estar. Oq devo fazer,request_inform
Só rinite e suspeita de asma,inform_symptoms
Minha vó desmanhou ela tem problema de coração diabete pressão tá cega de um olho,inform_symptoms
"Não , obg que Deus proteja vcs",greeting
Minhas costas dói muito na altura dos rins é uma dor queimando,inform_symptoms
E mesmo sem sentir direito o ssbor da comida eu me alimento super bem e nada de frituras,inform_symptoms
Me passe o número,request_inform
A injeção nao sei qual era,others
Dês de terça-feira,others
Queria saber se o teste rápido do laboratório particular se ele pode fazer..,request_inform
"Olá, ainda estou com alguns sintomas. Mas tenho algumas dúvidas",request_inform
Hoje o quadro continua o mesmo,others
Os sintomas dele e leve mais fico preocupada de levar ele pra upas,inform_symptoms
Muito obrigado pela ajuda,greeting
Será q minha garganta ainda está inflamada??,request_inform
Estive no mesmo ambiente que uma pessoa infectada,others
Preciso de ajuda nesse sentido,request_inform
Eu tenho isso ai,others
Eu moro próximo do Castelão,others
"Eu quero muito me acalmar, eu quero viver tranquilo",others
Hoje faz 7 dias,others
Tomou dipirona às 7h e tá controlada a febre até agora,inform_medicine
Paracampos tambem e um posto de saude ?,request_inform
Oq você acha?,request_inform
Mas o exame ele já pode realizar?,request_inform
"Ok , obg.",greeting
"Não, não cheguei a procurar atendimento médico",others
Liquidos,others
Estar com 3 dias que não sinto gosto e nem cheiro de nada. Ontem a noite minha têmperatura deu 37.7,inform_symptoms
"Sim, sim!!",others
só que ontem eu fui para o médico né porque eu já tava com 19 dias aí o doutor não me deu alta porque ele disse que eu ainda continuo tossindo  aí me deu mais cinco dias é normal,inform_symptoms
